"sp" "body_mass_g.avg." "fossorial" "ground_dwelling" "aboveground_dwelling" "aquatic" "cathemeral" "crepuscular" "diurnal" "nocturnal"
"88" "Delomys_collinus" "47" 0 1 0 0 NA NA NA NA
"89" "Delomys_dorsalis" "67.5" 0 1 0 0 0 0 1 0
"90" "Delomys_sublineatus" "89.99" 0 1 0 0 0 0 1 0
"91" "Deltamys_kempi" "26.4" 0 1 0 0 NA NA NA NA
"92" "Didelphis_albiventris" "850" 0 1 1 0 0 0 0 1
"93" "Didelphis_aurita" "1290" 0 1 1 0 0 0 0 1
"94" "Drymoreomys_albimaculatus" "57" 0 0 1 0 0 0 0 1
"95" "Eira_barbara" "4134.99" 0 1 1 0 0 0 0 1
"96" "Euphractus_sexcinctus" "4731.16" 1 1 0 0 0 0 1 0
"97" "Euryoryzomys_lamia" "60.5" 0 1 0 0 0 0 0 1
"98" "Euryoryzomys_russatus" "60.5" 0 1 0 0 0 0 0 1
"99" "Euryzygomatomys_spinosus" "187.49" 1 1 0 0 0 0 0 1
"100" "Galea_spixii" "360.61" 0 1 1 0 0 0 1 1
"101" "Galictis_cuja" "2000" 0 1 0 0 0 0 1 1
"102" "Galictis_vittata" "2300" 0 1 0 0 0 0 1 1
"103" "Gracilinanus_agilis" "22.03" 0 1 1 0 0 0 0 1
"104" "Gracilinanus_microtarsus" "29.3" 0 1 1 0 0 0 0 1
"105" "Graomys_chacoensis" "68.86" NA NA NA NA NA NA NA NA
"106" "Holochilus_brasiliensis" "155" 1 1 0 1 0 0 0 1
"108" "Holochilus_sciureus" "120.42" 0 1 0 1 0 0 1 1
"109" "Hydrochoerus_hydrochaeris" "48144.91" 0 1 0 1 0 0 1 1
"110" "Hylaeamys_laticeps" "49.11" 0 1 0 0 0 0 0 1
"111" "Hylaeamys_megacephalus" "57" 0 1 0 0 0 0 0 1
"112" "Hylaeamys_oniscus" "60" 0 1 0 0 0 0 0 1
"113" "Juliomys_pictipes" "22.9" 0 1 1 0 0 0 0 1
"114" "Juliomys_rimofrons" "22.5" 0 1 0 0 NA NA NA NA
"115" "Kannabateomys_amblyonyx" "599.99" 0 0 1 0 0 0 0 1
"116" "Kerodon_rupestris" "799.15" 0 1 1 0 1 0 0 0
"117" "Leontopithecus_caissara" "604.01" 0 0 1 0 0 0 1 0
"118" "Leontopithecus_chrysomelas" "572.8" 0 0 1 0 0 0 1 0
"119" "Leontopithecus_chrysopygus" "656.12" 0 0 1 0 0 0 1 0
"120" "Leontopithecus_rosalia" "592.52" 0 0 1 0 0 0 1 0
"121" "Leopardus_colocolo" "6000" 0 1 0 0 0 0 1 1
"122" "Leopardus_geoffroyi" "3800" 0 1 0 0 0 1 0 1
"123" "Leopardus_guttulus" "3500" 0 1 0 0 0 0 1 1
"124" "Leopardus_pardalis" "11880" 0 1 0 0 0 0 0 1
"125" "Leopardus_tigrinus" "22500" 0 1 0 0 1 0 0 0
"126" "Leopardus_wiedii" "3270.81" 0 1 1 0 1 0 0 0
"127" "Lontra_longicaudis" "6554.97" 0 1 0 1 0 1 1 0
"128" "Lundomys_molitor" "238.49" 0 1 0 1 0 0 0 1
"129" "Lutreolina_crassicaudata" "638" 0 1 1 1 0 0 0 1
"130" "Pseudalopex_gymnocercus" "4542.67" 0 1 0 0 0 0 0 1
