"sp" "svl_mm" "diurnal" "nocturnal" "Terrestre" "Arboricola" "Fossorial" "Aquatica"
"1" "Acratosaura_mentalis" NA 1 0 1 0 1 0
"2" "Acratosaura_spinosa" "53" 1 0 1 0 0 0
"3" "Alexandresaurus_camacan" "66" NA NA 1 0 0 0
"4" "Ameiva_ameiva" "122.73" 1 0 1 0 0 0
"5" "Ameivula_abaetensis" "54.8" 1 0 1 0 1 0
"6" "Ameivula_cipoensis" "63.2" 1 0 1 0 0 0
"7" "Ameivula_littoralis" "62" 1 0 1 0 1 0
"8" "Ameivula_nativo" "49" 1 0 1 0 1 0
"9" "Ameivula_ocellifera" "65.33" 1 0 1 0 0 0
"11" "Amerotyphlops_brongersmianus" "325" 0 1 0 0 1 0
"12" "Amerotyphlops_paucisquamus" "158" 0 1 0 0 1 0
"13" "Amerotyphlops_reticulatus" "536" 0 1 0 0 1 0
"15" "Amphisbaena_alba" "587.6" 1 1 1 0 1 0
"16" "Amphisbaena_albocingulata" "137" NA NA 0 0 1 0
"17" "Amphisbaena_amazonica" "500" NA NA 0 0 1 0
"19" "Amphisbaena_bahiana" "207" NA NA 0 0 1 0
"21" "Amphisbaena_darwini" "199" NA NA 0 0 1 0
"22" "Amphisbaena_dubia" "231" 0 1 0 0 1 0
"25" "Amphisbaena_heterozonata" "207" NA NA 0 0 1 0
"26" "Amphisbaena_hogei" "191" NA NA 0 0 1 0
"27" "Amphisbaena_infraorbitale" "461" NA NA 0 0 1 0
"28" "Amphisbaena_kingii" "201.5" NA NA 0 0 1 0
"30" "Amphisbaena_lumbricalis" "247" NA NA 0 0 1 0
"31" "Amphisbaena_mertensii" "250" NA NA 0 0 1 0
"33" "Amphisbaena_microcephalum" "390" NA NA 0 0 1 0
"34" "Amphisbaena_munoai" "219" NA NA 0 0 1 0
"36" "Amphisbaena_nigricauda" "123.04" NA NA 0 0 1 0
"37" "Amphisbaena_octostegum" NA NA NA 0 0 1 0
"39" "Amphisbaena_pretrei" "255" 1 1 0 0 1 0
"40" "Amphisbaena_prunicolor" "206" NA NA 0 0 1 0
"41" "Amphisbaena_roberti" "231" NA NA 0 0 1 0
"43" "Amphisbaena_scutigerum" NA NA NA 0 0 1 0
"44" "Amphisbaena_trachura" "208" NA NA 0 0 1 0
"45" "Amphisbaena_vermicularis" "254" 1 1 0 0 1 0
"46" "Amphisbaena_wiedi" "500" NA NA 0 0 1 0
"47" "Amphisbaena_wuchereri" NA NA NA 0 0 1 0
"49" "Anisolepis_grilli" "82.8" NA NA 1 1 0 0
"51" "Anisolepis_undulatus" "63" 1 0 1 1 0 0
"52" "Anolis_brasiliensis" "57.7" 1 0 1 1 0 0
"53" "Anolis_chrysolepis" "65.2" 1 0 1 1 0 0
"54" "Anolis_fuscoauratus" "43.6" 1 0 1 1 0 0
"55" "Anolis_meridionalis" "48" 1 0 1 1 0 0
"56" "Anolis_nasofrontalis" "55.1" 1 0 1 1 0 0
"57" "Anolis_pseudotigrinus" "65.8" 1 0 1 1 0 0
"58" "Anolis_punctatus" "77.9" 1 0 0 1 0 0
"59" "Anolis_williamsii" NA 1 0 NA NA NA NA
"60" "Anotosaura_collaris" "39.4" 1 0 1 0 1 0
"61" "Anotosaura_vanzolinia" "40.3" 1 0 1 0 1 0
"62" "Apostolepis_albicollaris" "451" NA NA NA NA NA NA
"63" "Apostolepis_ambiniger" NA NA NA NA NA NA NA
