"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"91" "Gallinago_undulata" "312.42" 0 0 0 100 0 0 0 0 0
"92" "Gampsonyx_swainsonii" "92.9" 0 0 0 100 0 0 0 0 0
"93" "Geranoaetus_albicaudatus" "885" 0 0 0 100 0 0 0 0 0
"94" "Geranoaetus_melanoleucus" "2378.62" 0 0 0 100 0 0 0 0 0
"95" "Glaucis_dohrnii" "5.8" 0 0 0 0 100 0 0 0 0
"96" "Glaucis_hirsutus" "6.76" 0 0 0 0 100 0 0 0 0
"97" "Spinus_magellanicus" NA NA NA NA NA NA NA NA NA NA
"98" "Guira_guira" "141" 0 0 0 70 20 10 0 0 0
"99" "Pionopsitta_pileata" "119" 0 0 0 0 0 60 40 0 0
"100" "Heliactin_bilophus" "4.4" 0 0 0 0 50 50 0 0 0
"101" "Pionus_maximiliani" "293" 0 0 0 0 30 50 20 0 0
"103" "Pionus_reichenowi" "251" 0 0 0 0 30 50 20 0 0
"104" "Heliomaster_furcifer" "5.4" 0 0 0 0 20 80 0 0 0
"105" "Heliomaster_squamosus" "5.9" 0 0 0 0 0 100 0 0 0
"106" "Heliothryx_auritus" "5.4" 0 0 0 0 0 50 40 10 0
"108" "Hydropsalis_maculicaudus" "30.3" 1 0 0 0 40 40 0 20 0
"109" "Hydropsalis_torquata" "58.5" 1 0 20 20 20 20 0 20 0
"110" "Ibycter_americanus" "624" 0 0 0 10 20 50 20 0 0
"111" "Hylocharis_chrysura" "4.5" 0 0 0 0 20 40 30 10 0
"112" "Hylocharis_cyanus" "3.3" 0 0 0 10 30 30 30 0 0
"113" "Ictinia_mississippiensis" "276.03" 0 0 0 10 10 10 10 60 0
"114" "Ictinia_plumbea" "249.9" 0 0 0 0 0 0 20 80 0
"115" "Pyriglena_leuconota" "32.3" 0 0 0 40 40 20 0 0 0
"116" "Ixobrychus_exilis" "86.29" 0 0 50 50 0 0 0 0 0
"117" "Ixobrychus_involucris" "80.1" 0 0 80 20 0 0 0 0 0
"118" "Jacamaralcyon_tridactyla" "18.3" 0 0 0 0 50 50 0 0 0
"119" "Jacana_jacana" "106.24" 0 0 50 50 0 0 0 0 0
"120" "Sittasomus_griseicapillus" "13.12" 0 0 0 0 0 50 50 0 0
"121" "Anabacerthia_amaurotis" "19.2" 0 0 0 20 60 20 0 0 0
"122" "Alectrurus_risora" "25" 0 0 0 0 80 20 0 0 0
"123" "Antilophia_galeata" "21.48" 0 0 0 0 50 50 0 0 0
"124" "Malacoptila_striata" "44.1" 0 0 0 50 50 0 0 0 0
"125" "Myiothlypis_leucophrys" "14.9" 0 0 0 80 20 0 0 0 0
"126" "Batara_cinerea" "131" 0 0 0 30 30 40 0 0 0
"127" "Mareca_sibilatrix" "923.16" 0 0 30 70 0 0 0 0 0
"129" "Calyptura_cristata" "5" 0 0 0 0 50 50 0 0 0
"130" "Carpornis_cucullata" "74.19" 0 0 0 0 50 50 0 0 0
"131" "Casiornis_rufus" "24.8" 0 0 0 0 40 30 30 0 0
"132" "Casiornis_fuscus" "19.5" 0 0 0 0 40 30 30 0 0
"133" "Cercomacroides_laeta" NA NA NA NA NA NA NA NA NA NA
"134" "Clibanornis_dendrocolaptoides" "48.2" 0 0 0 60 40 0 0 0 0
