"V1" "V2" "id" "site_region" "mean_age_arrival"
"0" -55.399663561 -22.62276882 31 "4" 3.8348952640375
"1" -55.399663561 -23.12276882 32 "4" 3.75182680909728
"2" -55.399663561 -23.62276882 33 "4" 3.43436186451212
"3" -55.399663561 -28.12276882 42 "4" 3.20496377551313
"4" -54.899663561 -22.12276882 76 "4" 3.74249055887997
"5" -54.899663561 -22.62276882 77 "4" 3.8348952640375
"6" -54.899663561 -23.12276882 78 "4" 3.8348952640375
"7" -54.899663561 -23.62276882 79 "4" 3.03302202477528
"8" -54.899663561 -27.62276882 87 "4" 2.85491119506305
"9" -54.899663561 -28.12276882 88 "4" 2.48277891444819
"10" -54.399663561 -21.62276882 121 "4" 3.85536001882681
"11" -54.399663561 -22.12276882 122 "4" 3.47218150336751
"12" -54.399663561 -22.62276882 123 "4" 3.64578557853589
"13" -54.399663561 -23.12276882 124 "4" 3.82279841432495
"14" -54.399663561 -23.62276882 125 "1" 7.00649246495579
"15" -54.399663561 -24.12276882 126 "1" 7.73868293110957
"16" -54.399663561 -24.62276882 127 "1" 7.90421426651571
"17" -54.399663561 -25.12276882 128 "1" 8.33721616968949
"18" -54.399663561 -25.62276882 129 "4" 2.50507515680166
"19" -54.399663561 -27.62276882 133 "4" 2.79933517484697
"20" -54.399663561 -28.12276882 134 "1" 10.3659660139166
"21" -53.899663561 -22.12276882 168 "4" 3.47218150336751
"22" -53.899663561 -22.62276882 169 "4" 3.82279841432495
"23" -53.899663561 -23.12276882 170 "4" 3.34914737932495
"24" -53.899663561 -23.62276882 171 "1" 7.30513521841754
"25" -53.899663561 -24.12276882 172 "1" 7.48550645837847
"26" -53.899663561 -24.62276882 173 "1" 8.28415790147774
"27" -53.899663561 -25.12276882 174 "1" 8.56387989624193
"28" -53.899663561 -25.62276882 175 "4" 2.50507515680166
"29" -53.899663561 -26.12276882 176 "4" 2.53562363432363
"30" -53.899663561 -26.62276882 177 "4" 2.93460162657547
"31" -53.899663561 -27.12276882 178 "4" 2.96262001626036
"32" -53.899663561 -27.62276882 179 "1" 10.0541160013195
"33" -53.899663561 -28.12276882 180 "1" 11.0690762058301
"34" -53.899663561 -29.62276882 183 "1" 11.7880496390078
"35" -53.399663561 -22.12276882 214 "4" 3.57042662513837
"36" -53.399663561 -22.62276882 215 "4" 3.26844744247375
"37" -53.399663561 -23.12276882 216 "4" 3.08274588324229
"38" -53.399663561 -23.62276882 217 "1" 7.25925650624212
"39" -53.399663561 -24.12276882 218 "1" 7.79816868206824
"40" -53.399663561 -24.62276882 219 "1" 8.04371946531987
"41" -53.399663561 -25.12276882 220 "1" 8.48141545174051
"42" -53.399663561 -25.62276882 221 "1" 8.62409238209994
"43" -53.399663561 -26.12276882 222 "4" 2.89837321143257
"44" -53.399663561 -26.62276882 223 "4" 2.58423679330313
"45" -53.399663561 -27.12276882 224 "4" 2.55880941644915
"46" -53.399663561 -27.62276882 225 "1" 9.77090428297252
"47" -53.399663561 -29.12276882 228 "1" 11.6596326897427
"48" -53.399663561 -29.62276882 229 "1" 12.3196062382187
"49" -52.899663561 -22.12276882 260 "4" 3.7349787458552
"50" -52.899663561 -22.62276882 261 "1" 6.25260358490243
"51" -52.899663561 -23.12276882 262 "1" 7.18635514629151
"52" -52.899663561 -23.62276882 263 "1" 7.70131566985869
"53" -52.899663561 -24.12276882 264 "1" 7.63090864823647
"54" -52.899663561 -24.62276882 265 "1" 7.99428048862869
"55" -52.899663561 -25.12276882 266 "1" 8.2522086268094
"56" -52.899663561 -25.62276882 267 "1" 8.54577782887799
"57" -52.899663561 -26.12276882 268 "1" 8.80917111232278
"58" -52.899663561 -26.62276882 269 "4" 2.55067657520828
"59" -52.899663561 -27.12276882 270 "4" 2.49057716534384
"60" -52.899663561 -27.62276882 271 "4" 2.52650987007928
"61" -52.899663561 -28.12276882 272 "1" 10.8141916831282
"62" -52.899663561 -28.62276882 273 "1" 11.0012720848224
"63" -52.899663561 -29.12276882 274 "1" 11.7599736079136
"64" -52.899663561 -29.62276882 275 "1" 12.3667431144217
"65" -52.399663561 -22.12276882 306 "4" 3.2342679370414
"66" -52.399663561 -22.62276882 307 "4" 2.88598125239703
"67" -52.399663561 -23.12276882 308 "1" 7.27443116082227
"68" -52.399663561 -23.62276882 309 "1" 7.37934352796494
"69" -52.399663561 -24.12276882 310 "1" 7.66681182522258
"70" -52.399663561 -24.62276882 311 "1" 7.93425526098616
"71" -52.399663561 -25.12276882 312 "1" 8.04082850665394
"72" -52.399663561 -25.62276882 313 "1" 8.28238454543321
"73" -52.399663561 -26.12276882 314 "1" 8.54577782887799
"74" -52.399663561 -26.62276882 315 "1" 8.38738479226748
"75" -52.399663561 -27.12276882 316 "4" 2.72673756865116
"76" -52.399663561 -27.62276882 317 "1" 10.0853948441036
"77" -52.399663561 -28.12276882 318 "1" 10.8274656249762
"78" -52.399663561 -28.62276882 319 "1" 11.3552486394985
"79" -52.399663561 -29.12276882 320 "1" 11.564729510141
"80" -52.399663561 -29.62276882 321 "1" 10.9785516917962
"81" -51.899663561 -21.12276882 350 "4" 3.57960698729393
"82" -51.899663561 -21.62276882 351 "4" 3.37202707252128
"83" -51.899663561 -22.12276882 352 "4" 3.042716723868
"84" -51.899663561 -22.62276882 353 "1" 7.11020758888813
"85" -51.899663561 -23.12276882 354 "1" 7.19621254618977
"86" -51.899663561 -23.62276882 355 "1" 7.33706077897645
"87" -51.899663561 -24.12276882 356 "1" 7.58162613827566
"88" -51.899663561 -24.62276882 357 "1" 7.84305807407827
"89" -51.899663561 -25.12276882 358 "1" 8.07583548430108
"90" -51.899663561 -25.62276882 359 "1" 8.18259798464486
"91" -51.899663561 -26.12276882 360 "1" 8.62031833314701
"92" -51.899663561 -26.62276882 361 "1" 8.46961214766521
"93" -51.899663561 -27.12276882 362 "1" 9.2928762490241
"94" -51.899663561 -27.62276882 363 "1" 9.32383905883088
"95" -51.899663561 -28.12276882 364 "1" 10.0528018002863
"96" -51.899663561 -28.62276882 365 "1" 10.3128709802442
"97" -51.899663561 -29.12276882 366 "1" 11.0152444888859
"98" -51.899663561 -29.62276882 367 "1" 11.6600967754102
"99" -51.399663561 -20.12276882 394 "4" 3.45311598043071
"100" -51.399663561 -20.62276882 395 "4" 3.42054035797381
"101" -51.399663561 -21.12276882 396 "4" 3.36397466464649
"102" -51.399663561 -21.62276882 397 "4" 3.21611064220482
"103" -51.399663561 -22.12276882 398 "4" 2.83245330385482
"104" -51.399663561 -22.62276882 399 "1" 6.98520075615617
"105" -51.399663561 -23.12276882 400 "1" 7.33276251757585
"106" -51.399663561 -23.62276882 401 "1" 7.41918269551813
"107" -51.399663561 -24.12276882 402 "1" 7.57873286101315
"108" -51.399663561 -24.62276882 403 "1" 8.08108177448484
"109" -51.399663561 -25.12276882 404 "1" 8.35798181326423
"110" -51.399663561 -25.62276882 405 "1" 8.35751774630132
"111" -51.399663561 -26.12276882 406 "1" 8.00790681460484
"112" -51.399663561 -26.62276882 407 "1" 8.61993682935784
"113" -51.399663561 -27.12276882 408 "1" 9.21033661219057
"114" -51.399663561 -27.62276882 409 "1" 9.2065267717213
"115" -51.399663561 -28.12276882 410 "1" 9.73518048789695
"116" -51.399663561 -28.62276882 411 "1" 10.5029136778874
"117" -51.399663561 -29.12276882 412 "1" 11.1334433174813
"118" -51.399663561 -29.62276882 413 "1" 11.4480968340391
"119" -50.899663561 -18.62276882 437 "4" 3.37836424184092
"120" -50.899663561 -19.12276882 438 "4" 3.37836424184092
"121" -50.899663561 -19.62276882 439 "4" 3.31339762180552
"122" -50.899663561 -20.12276882 440 "4" 3.08182212591222
"123" -50.899663561 -20.62276882 441 "4" 2.98822598406058
"124" -50.899663561 -21.12276882 442 "4" 3.07442192590848
"125" -50.899663561 -21.62276882 443 "4" 3.16248785562604
"126" -50.899663561 -22.12276882 444 "4" 2.84525064648002
"127" -50.899663561 -22.62276882 445 "1" 7.32851719975837
"128" -50.899663561 -23.12276882 446 "1" 7.48887428161541
"129" -50.899663561 -23.62276882 447 "1" 7.49810910717258
"130" -50.899663561 -24.12276882 448 "1" 7.97631131205371
"131" -50.899663561 -24.62276882 449 "1" 8.23825498335716
"132" -50.899663561 -25.12276882 450 "1" 10.2786125462941
"133" -50.899663561 -25.62276882 451 "1" 10.0961082350508
"134" -50.899663561 -26.12276882 452 "1" 10.0774893495494
"135" -50.899663561 -26.62276882 453 "4" 2.37317489319976
"136" -50.899663561 -27.12276882 454 "4" 2.50877917281117
"137" -50.899663561 -27.62276882 455 "4" 2.83213722245264
"138" -50.899663561 -28.12276882 456 "4" 2.37800038982908
"139" -50.899663561 -28.62276882 457 "4" 2.45596433703659
"140" -50.899663561 -29.12276882 458 "1" 11.1485683931182
"141" -50.899663561 -29.62276882 459 "1" 11.4480968340391
"142" -50.399663561 -18.62276882 483 "4" 3.16145322877289
"143" -50.399663561 -19.12276882 484 "4" 3.13105560157315
"144" -50.399663561 -19.62276882 485 "4" 3.0532876617834
"145" -50.399663561 -20.12276882 486 "4" 3.0532876617834
"146" -50.399663561 -20.62276882 487 "4" 2.96055815087484
"147" -50.399663561 -21.12276882 488 "4" 2.98822598406058
"148" -50.399663561 -21.62276882 489 "4" 3.01608101045817
"149" -50.399663561 -22.12276882 490 "4" 2.71104542730644
"150" -50.399663561 -22.62276882 491 "1" 7.27890118568098
"151" -50.399663561 -23.12276882 492 "1" 7.73897286315369
"152" -50.399663561 -23.62276882 493 "1" 7.9044733694079
"153" -50.399663561 -24.12276882 494 "1" 7.98513024052431
"154" -50.399663561 -24.62276882 495 "1" 9.78234917805143
"155" -50.399663561 -25.12276882 496 "1" 9.94704762544592
"156" -50.399663561 -25.62276882 497 "1" 9.87662979515835
"157" -50.399663561 -26.12276882 498 "1" 10.0881875737804
"158" -50.399663561 -26.62276882 499 "4" 2.31072555390503
"159" -50.399663561 -27.12276882 500 "1" 11.3541803743337
"160" -50.399663561 -27.62276882 501 "4" 1.99743332245124
"161" -50.399663561 -28.12276882 502 "4" 2.09254443304416
"162" -50.399663561 -28.62276882 503 "4" 2.09254443304416
