"V1" "V2" "id" "mean_age_arrival" "diversification_model_based" "diversification"
"0" -55.399663561 -22.62276882 31 3.34029117967216 0.00158240373776091 0.0289182679853896
"1" -55.399663561 -23.12276882 32 2.88552451590035 0.0015439918822529 0.0285292096898115
"2" -55.399663561 -23.62276882 33 3.99590222547528 0.00163698612262305 0.0286638974776521
"3" -55.399663561 -28.12276882 42 4.12176295934881 0.00188329850109485 0.0290395391198916
"4" -54.899663561 -22.12276882 76 3.25816631820036 0.00070171866770539 0.0283910406261144
"5" -54.899663561 -22.62276882 77 3.32278735136402 0.00070171866770539 0.0283910406261144
"6" -54.899663561 -23.12276882 78 2.99570967899838 0.000736781231866157 0.0274622246411092
"7" -54.899663561 -23.62276882 79 3.27667639124503 0.000754604262498517 0.0279004949942237
"8" -54.899663561 -27.62276882 87 3.68328817643936 0.0182564268443335 0.0292201903743317
"9" -54.899663561 -28.12276882 88 3.01357262226691 0.00148547411166468 0.0291425466102596
"10" -54.399663561 -21.62276882 121 3.10346606533445 0.000712793126751677 0.0279322072265467
"11" -54.399663561 -22.12276882 122 3.1568833611412 0.000744168412351118 0.0281363909645694
"12" -54.399663561 -22.62276882 123 3.32599675548805 0.000744168412351118 0.0281363909645694
"13" -54.399663561 -23.12276882 124 2.8441448424971 0.000751687543816262 0.0274004830262996
"14" -54.399663561 -23.62276882 125 1e-04 0.00164327024388292 0.0285432462888391
"15" -54.399663561 -24.12276882 126 1e-04 0.00168484236887945 0.0284302477641452
"16" -54.399663561 -24.62276882 127 1e-04 0.0173008855869172 0.0290298881609418
"17" -54.399663561 -25.12276882 128 1e-04 0.00232706375121035 0.029286157178114
"18" -54.399663561 -25.62276882 129 3.84461135363768 0.0191043177090203 0.0295200776889785
"19" -54.399663561 -27.62276882 133 2.79823267988769 0.0178849485262967 0.02906065331751
"20" -54.399663561 -28.12276882 134 2.84235258691084 0.00150427798976005 0.0297703544895527
"21" -53.899663561 -22.12276882 168 3.14008275231649 0.000712793126751677 0.0279322072265467
"22" -53.899663561 -22.62276882 169 3.2676476896023 0.000726748155686352 0.0278946072010704
"23" -53.899663561 -23.12276882 170 0.144093886225789 0.000662511291239571 0.0270674620802475
"24" -53.899663561 -23.62276882 171 1e-04 0.000706889903524881 0.0275571880925451
"25" -53.899663561 -24.12276882 172 1e-04 0.000800885501766251 0.0279096869107523
"26" -53.899663561 -24.62276882 173 1e-04 0.0190512343719584 0.027115272262886
"27" -53.899663561 -25.12276882 174 1e-04 0.00254489069822159 0.027624015918687
"28" -53.899663561 -25.62276882 175 2.92113786874787 0.0199626836883574 0.0292758675445435
"29" -53.899663561 -26.12276882 176 1e-04 0.0196153751231653 0.0304372868691986
"30" -53.899663561 -26.62276882 177 2.63813684004101 0.0197229610252813 0.0294514546591611
"31" -53.899663561 -27.12276882 178 2.67008634308454 0.0188794588067299 0.0298592034762897
"32" -53.899663561 -27.62276882 179 1e-04 0.00168110557717483 0.0287695583895873
"33" -53.899663561 -28.12276882 180 2.86795641147395 0.00133279919705568 0.0300145464936427
"34" -53.899663561 -29.62276882 183 3.18542261168313 0.00239391550891425 0.0284474415021974
"35" -53.399663561 -22.12276882 214 3.37415267835305 0.000632472176868034 0.0286720565487957
"36" -53.399663561 -22.62276882 215 0.139085403226631 0.000588155724528764 0.0281455876638579
"37" -53.399663561 -23.12276882 216 0.135551876025954 0.000638845087498808 0.0279145171445784
"38" -53.399663561 -23.62276882 217 1e-04 0.0191094503828382 0.0278389510737947
"39" -53.399663561 -24.12276882 218 1e-04 0.0188855066308214 0.0274312841445515
"40" -53.399663561 -24.62276882 219 1e-04 0.000748819060387207 0.0284633295154165
"41" -53.399663561 -25.12276882 220 1e-04 0.0184872780964869 0.027863301582588
"42" -53.399663561 -25.62276882 221 1e-04 0.018667777150227 0.0277788203129341
"43" -53.399663561 -26.12276882 222 1e-04 0.00124567030696877 0.0285600983774932
"44" -53.399663561 -26.62276882 223 1e-04 0.00122772276872107 0.0287075625480597
"45" -53.399663561 -27.12276882 224 1e-04 0.00173098818050651 0.0291078978401229
"46" -53.399663561 -27.62276882 225 1e-04 0.00162273496444129 0.0293586659042475
"47" -53.399663561 -29.12276882 228 3.06597301374501 0.00142272727755385 0.0284381140930619
"48" -53.399663561 -29.62276882 229 3.07044602176818 0.00290398762872438 0.0280142503934284
"49" -52.899663561 -22.12276882 260 3.1319214997856 0.000624850664493103 0.0289124169493486
"50" -52.899663561 -22.62276882 261 3.0024559454718 0.000654185368195677 0.0284097020765652
"51" -52.899663561 -23.12276882 262 0.132193565050104 0.000695431542551554 0.0277004713503504
"52" -52.899663561 -23.62276882 263 0.134413624966912 0.0189830980921241 0.0277148034527625
"53" -52.899663561 -24.12276882 264 1e-04 0.000706915564410526 0.027303636477255
"54" -52.899663561 -24.62276882 265 1e-04 0.000730976889829293 0.0272542081431678
"55" -52.899663561 -25.12276882 266 1e-04 0.00149622396346196 0.027338584210302
"56" -52.899663561 -25.62276882 267 1e-04 0.00140106435638209 0.0280210020314153
"57" -52.899663561 -26.12276882 268 1e-04 0.00137762993708739 0.0280836546354885
"58" -52.899663561 -26.62276882 269 1e-04 0.00153922108649675 0.0281578353919345
"59" -52.899663561 -27.12276882 270 2.72974155997669 0.00145752329459918 0.0286654850537519
"60" -52.899663561 -27.62276882 271 2.81594076713385 0.00207064822983095 0.0283266960449432
"61" -52.899663561 -28.12276882 272 2.8689648764218 0.00174854209334326 0.0280606084599988
"62" -52.899663561 -28.62276882 273 3.08346468720119 0.00176815948713895 0.0286149462063564
"63" -52.899663561 -29.12276882 274 2.70676234987471 0.00152025274688041 0.0274538569612755
"64" -52.899663561 -29.62276882 275 3.46850875437979 0.00295802310708257 0.0276402184387928
"65" -52.399663561 -22.12276882 306 3.33297746002689 0.00064413282524977 0.0284795181983162
"66" -52.399663561 -22.62276882 307 3.43960916952622 0.000686129645162272 0.0285705281785934
"67" -52.399663561 -23.12276882 308 0.126951756913195 0.0175835333922253 0.0284305522424779
"68" -52.399663561 -23.62276882 309 0.134413624966912 0.00164699459934644 0.0281017904716135
"69" -52.399663561 -24.12276882 310 1e-04 0.00161928886318856 0.0274932690411255
"70" -52.399663561 -24.62276882 311 1e-04 0.0173605376620442 0.0280325477707211
"71" -52.399663561 -25.12276882 312 1e-04 0.00131634577936817 0.02809460314247
"72" -52.399663561 -25.62276882 313 1e-04 0.00155049535084331 0.0277151218378686
"73" -52.399663561 -26.12276882 314 1e-04 0.00153082547025743 0.0277282429176064
"74" -52.399663561 -26.62276882 315 1e-04 0.00156882285878781 0.0293695238875462
"75" -52.399663561 -27.12276882 316 2.99156711659189 0.00145961775793694 0.0283375385853539
"76" -52.399663561 -27.62276882 317 1e-04 0.00140671653804918 0.0274404063052498
"77" -52.399663561 -28.12276882 318 2.99236541238052 0.00118316708637328 0.0267955722343059
"78" -52.399663561 -28.62276882 319 2.74004910162705 0.00110620077454242 0.0263391658935879
"79" -52.399663561 -29.12276882 320 2.72944461373553 0.00161906293809825 0.0261781696899277
"80" -52.399663561 -29.62276882 321 3.30848597320662 0.00284119096517884 0.0264597710180076
"81" -51.899663561 -21.12276882 350 2.51210967737205 0.00143382796314993 0.02979091930339
"82" -51.899663561 -21.62276882 351 3.01017920481689 0.0014756560151945 0.0288386119461795
"83" -51.899663561 -22.12276882 352 3.05167020644607 0.0014756560151945 0.0288386119461795
"84" -51.899663561 -22.62276882 353 0.120275348654606 0.00154001876234056 0.02917179609097
"85" -51.899663561 -23.12276882 354 0.125952924181595 0.0015917523822935 0.0286612113285649
"86" -51.899663561 -23.62276882 355 0.132193565050104 0.0017456304228473 0.0284043491736678
"87" -51.899663561 -24.12276882 356 1e-04 0.0177207444777478 0.0276199498615427
"88" -51.899663561 -24.62276882 357 1e-04 0.017371006650735 0.0282722712505346
"89" -51.899663561 -25.12276882 358 1e-04 0.00144970210535399 0.0284121963781998
"90" -51.899663561 -25.62276882 359 1e-04 0.00142482638105907 0.0277341318102317
"91" -51.899663561 -26.12276882 360 1e-04 0.00148409356183866 0.0282965520302711
"92" -51.899663561 -26.62276882 361 1e-04 0.00155158040698206 0.0286229839022139
"93" -51.899663561 -27.12276882 362 1e-04 0.00161309045088348 0.0271262120065239
"94" -51.899663561 -27.62276882 363 1e-04 0.0016159488483766 0.0272502960139026
"95" -51.899663561 -28.12276882 364 1e-04 0.00108310736236765 0.0273495983536762
"96" -51.899663561 -28.62276882 365 2.60249835263155 0.0011739768058208 0.0266001704786738
"97" -51.899663561 -29.12276882 366 3.32187191979783 0.0015815515314593 0.0263856403882559
"98" -51.899663561 -29.62276882 367 3.26551992160654 0.00271535604637838 0.0260741413609301
"99" -51.399663561 -20.12276882 394 96.621039997736 0.00156395401364284 0.0285316022472396
"100" -51.399663561 -20.62276882 395 97.164773857894 0.00152803229608281 0.0289350773978813
"101" -51.399663561 -21.12276882 396 2.74838770383969 0.00150127926990227 0.0291941122227484
"102" -51.399663561 -21.62276882 397 2.7530733222537 0.00149972152658718 0.0286707424611573
"103" -51.399663561 -22.12276882 398 2.99298474756681 0.0014756560151945 0.0288386119461795
"104" -51.399663561 -22.62276882 399 3.14951127441909 0.0178745367365769 0.0291637311486307
"105" -51.399663561 -23.12276882 400 0.120275348654606 0.00163386948105196 0.0282368945779832
"106" -51.399663561 -23.62276882 401 0.126951756913195 0.0178937972950317 0.0281943183851204
"107" -51.399663561 -24.12276882 402 1e-04 0.0186453610471635 0.028165386886657
"108" -51.399663561 -24.62276882 403 1e-04 0.0183099739675316 0.0291270143464245
"109" -51.399663561 -25.12276882 404 1e-04 0.00142125985586378 0.028747786875659
"110" -51.399663561 -25.62276882 405 1e-04 0.00145188067466786 0.0285336644351123
"111" -51.399663561 -26.12276882 406 1e-04 0.00147716965680642 0.0292167841188512
