"V1" "V2" "id" "site_region" "mean_age_arrival"
"0" -55.399663561 -22.62276882 31 "3" 2.24884171146711
"1" -55.399663561 -23.12276882 32 "3" 2.4833901194872
"2" -55.399663561 -23.62276882 33 "3" 3.28365936248322
"3" -55.399663561 -28.12276882 42 "3" 4.52962507920429
"4" -54.899663561 -22.12276882 76 "3" 2.16032348527053
"5" -54.899663561 -22.62276882 77 "3" 2.19789258936219
"6" -54.899663561 -23.12276882 78 "3" 2.36771514124857
"7" -54.899663561 -23.62276882 79 "3" 2.47939510074143
"8" -54.899663561 -27.62276882 87 "3" 4.15549974773575
"9" -54.899663561 -28.12276882 88 "3" 3.62131442221859
"10" -54.399663561 -21.62276882 121 "3" 2.06435738770449
"11" -54.399663561 -22.12276882 122 "3" 2.1420165065818
"12" -54.399663561 -22.62276882 123 "3" 2.25676203372011
"13" -54.399663561 -23.12276882 124 "3" 2.29779225251502
"14" -54.399663561 -23.62276882 125 "2" 2.40131085174774
"15" -54.399663561 -24.12276882 126 "2" 2.73974554788164
"16" -54.399663561 -24.62276882 127 "2" 2.77881094808959
"17" -54.399663561 -25.12276882 128 "2" 3.52340822334875
"18" -54.399663561 -25.62276882 129 "3" 4.64383352116302
"19" -54.399663561 -27.62276882 133 "3" 3.34548651330939
"20" -54.399663561 -28.12276882 134 "3" 2.32698313390395
"21" -53.899663561 -22.12276882 168 "3" 2.13374419065254
"22" -53.899663561 -22.62276882 169 "3" 2.21717147172502
"23" -53.899663561 -23.12276882 170 "2" 2.3636525148537
"24" -53.899663561 -23.62276882 171 "2" 2.68731475434675
"25" -53.899663561 -24.12276882 172 "2" 2.66502794203032
"26" -53.899663561 -24.62276882 173 "2" 2.82665368959311
"27" -53.899663561 -25.12276882 174 "2" 2.75308214301468
"28" -53.899663561 -25.62276882 175 "3" 3.66312679888425
"29" -53.899663561 -26.12276882 176 "2" 2.77881094808959
"30" -53.899663561 -26.62276882 177 "3" 3.4420779771179
"31" -53.899663561 -27.12276882 178 "3" 3.30290747536943
"32" -53.899663561 -27.62276882 179 "2" 2.84243842402811
"33" -53.899663561 -28.12276882 180 "3" 2.54278896500566
