"V1" "V2" "id" "site_region" "mean_age_arrival"
"0" -55.399663561 -22.62276882 31 "3" 0.218101697558141
"1" -55.399663561 -23.12276882 32 "3" 0.213147113522729
"2" -55.399663561 -23.62276882 33 "3" 0.228735926707319
"3" -55.399663561 -28.12276882 42 "1" 1.83848953085407
"4" -54.899663561 -22.12276882 76 "3" 0.188411707756098
"5" -54.899663561 -22.62276882 77 "3" 0.188411707756098
"6" -54.899663561 -23.12276882 78 "3" 0.193119500450001
"7" -54.899663561 -23.62276882 79 "3" 0.198068718410257
"8" -54.899663561 -27.62276882 87 "4" 74.408700079117
"9" -54.899663561 -28.12276882 88 "1" 0.542328119621623
"10" -54.399663561 -21.62276882 121 "3" 0.193119500450001
"11" -54.399663561 -22.12276882 122 "3" 0.203278421526317
"12" -54.399663561 -22.62276882 123 "3" 0.203278421526317
"13" -54.399663561 -23.12276882 124 "3" 0.198068718410257
"14" -54.399663561 -23.62276882 125 "3" 0.228735926707319
"15" -54.399663561 -24.12276882 126 "3" 0.234451824875002
"16" -54.399663561 -24.62276882 127 "4" 75.7714499204849
"17" -54.399663561 -25.12276882 128 "1" 2.12549150107171
"18" -54.399663561 -25.62276882 129 "4" 76.7318637120023
"19" -54.399663561 -27.62276882 133 "4" 70.7263826631355
"20" -54.399663561 -28.12276882 134 "1" 0.542328119621623
"21" -53.899663561 -22.12276882 168 "3" 0.193119500450001
"22" -53.899663561 -22.62276882 169 "3" 0.198068718410257
"23" -53.899663561 -23.12276882 170 "3" 0.17167288928889
"24" -53.899663561 -23.62276882 171 "3" 0.183928095666667
"25" -53.899663561 -24.12276882 172 "3" 0.208769730216217
"26" -53.899663561 -24.62276882 173 "4" 84.4820297968588
"27" -53.899663561 -25.12276882 174 "1" 2.18293451461419
"28" -53.899663561 -25.62276882 175 "4" 81.1293962572299
"29" -53.899663561 -26.12276882 176 "4" 77.6020355503938
"30" -53.899663561 -26.62276882 177 "4" 79.6197529508154
"31" -53.899663561 -27.12276882 178 "4" 71.8589328121426
"32" -53.899663561 -27.62276882 179 "1" 1.15957528806972
"33" -53.899663561 -28.12276882 180 "1" 0.501661010650001
"34" -53.899663561 -29.62276882 183 "1" 0.431437523328071
"35" -53.399663561 -22.12276882 214 "3" 0.188411707756098
"36" -53.399663561 -22.62276882 215 "3" 0.175572273136364
"37" -53.399663561 -23.12276882 216 "3" 0.183928095666667
"38" -53.399663561 -23.62276882 217 "4" 79.4445555020152
"39" -53.399663561 -24.12276882 218 "4" 82.2041480855572
"40" -53.399663561 -24.62276882 219 "3" 0.220693714800001
"41" -53.399663561 -25.12276882 220 "4" 77.5206347495148
"42" -53.399663561 -25.62276882 221 "4" 77.5518383898518
"43" -53.399663561 -26.12276882 222 "1" 1.63652628885407
"44" -53.399663561 -26.62276882 223 "1" 1.59933478228921
"45" -53.399663561 -27.12276882 224 "1" 1.71859456145055
"46" -53.399663561 -27.62276882 225 "1" 1.13196873359187
"47" -53.399663561 -29.12276882 228 "1" 2.51255545374017
"48" -53.399663561 -29.62276882 229 "1" 2.6410889118547
"49" -52.899663561 -22.12276882 260 "3" 0.183928095666667
"50" -52.899663561 -22.62276882 261 "3" 0.188411707756098
"51" -52.899663561 -23.12276882 262 "3" 0.203278421526317
"52" -52.899663561 -23.62276882 263 "4" 79.4445555020152
"53" -52.899663561 -24.12276882 264 "3" 0.208769730216217
"54" -52.899663561 -24.62276882 265 "3" 0.214566111611112
"55" -52.899663561 -25.12276882 266 "1" 1.90189271407365
"56" -52.899663561 -25.62276882 267 "1" 1.90189271407365
