"V1" "V2" "id" "mean_age_arrival" "diversification_model_based" "diversification"
"0" -55.399663561 -22.62276882 31 0.168236699926669 0.000118442005062513 0.0491439252264721
"1" -55.399663561 -23.12276882 32 0.251983906857146 0.00141256009156679 0.056016088206952
"2" -55.399663561 -23.62276882 33 0.24498713166667 0.00121955996685946 0.0574321966697082
"3" -55.399663561 -28.12276882 42 0.185405039382641 0.00779845840323991 0.101294969359181
"4" -54.899663561 -22.12276882 76 42.4131222045188 0.0222350381625279 0.0520910461160919
"5" -54.899663561 -22.62276882 77 43.3264599258503 0.0212148799937324 0.0513453814024325
"6" -54.899663561 -23.12276882 78 0.174034517165519 0.000121484380989551 0.0509879723469443
"7" -54.899663561 -23.62276882 79 0.259392257058827 0.00121866782784345 0.0559944376163842
"8" -54.899663561 -27.62276882 87 0.0173533534700024 0.00912408462827688 0.0738049767560208
"9" -54.899663561 -28.12276882 88 0.0247476478142891 0.0117791687140682 0.0655675661884367
"10" -54.399663561 -21.62276882 121 1.67473296821789 0.00438964493685788 0.0526245628804063
"11" -54.399663561 -22.12276882 122 1.85415792909838 0.00493804629739102 0.0533833695142289
"12" -54.399663561 -22.62276882 123 1.85415792909838 0.00493804629739102 0.0533833695142289
"13" -54.399663561 -23.12276882 124 43.3264599258503 0.0230725268140657 0.0540905194321815
"14" -54.399663561 -23.62276882 125 1.98753873505695 0.00548209731415818 0.0570525145815811
"15" -54.399663561 -24.12276882 126 1.86920571296381 0.00471149357103221 0.0567427485057134
"16" -54.399663561 -24.62276882 127 49.1678679814166 0.0267092748382712 0.0630835429246913
"17" -54.399663561 -25.12276882 128 50.6741616249805 0.0240071961914191 0.059743959744851
"18" -54.399663561 -25.62276882 129 43.3699855195868 0.0307700583002449 0.0672405552638665
"19" -54.399663561 -27.62276882 133 0.0179482966931059 0.00936581981454902 0.0752883356317647
"20" -54.399663561 -28.12276882 134 0.0236273001863669 0.0115642593030394 0.0661360837392528
"21" -53.899663561 -22.12276882 168 0.928897310356217 0.0051661345220757 0.0551061255720117
"22" -53.899663561 -22.62276882 169 1.14425372905767 0.00528207742025736 0.055971783791482
"23" -53.899663561 -23.12276882 170 1.80906833165666 0.011132367218795 0.0558222362433355
"24" -53.899663561 -23.62276882 171 1.70569871270485 0.0103747586849012 0.05800894920814
"25" -53.899663561 -24.12276882 172 2.02071581686104 0.0107368916359569 0.0580102836029553
"26" -53.899663561 -24.62276882 173 0.856156173219435 0.00285513195395767 0.0666634629219492
"27" -53.899663561 -25.12276882 174 1.47707016396569 0.00715438569649582 0.0627362433072945
"28" -53.899663561 -25.62276882 175 45.1000450365584 0.0290587117185904 0.0662833890923675
"29" -53.899663561 -26.12276882 176 45.4880465078251 0.0312582862510982 0.067734036757843
"30" -53.899663561 -26.62276882 177 1.00124291191966 0.00607244906721548 0.0704571132891279
"31" -53.899663561 -27.12276882 178 0.892806828941778 0.00309484662432012 0.073365083782407
"32" -53.899663561 -27.62276882 179 0.824330334398482 0.00358107155382126 0.0699735703243881
"33" -53.899663561 -28.12276882 180 0.021666691837503 0.0101002390516872 0.0722089313564393
"34" -53.899663561 -29.62276882 183 0.0974542832540048 0.0121944387581713 0.09875838895966
"35" -53.399663561 -22.12276882 214 0.868974903236461 0.00490358091483706 0.0562521871161689
"36" -53.399663561 -22.62276882 215 1.10958240393471 0.00521876424301532 0.056471449702588
"37" -53.399663561 -23.12276882 216 39.4884073612574 0.022723413855968 0.0569552976347083
"38" -53.399663561 -23.62276882 217 1.18116191386598 0.00501910653136646 0.0546071913069074
"39" -53.399663561 -24.12276882 218 0.886729607977272 0.00306883138565092 0.0586043665045851
"40" -53.399663561 -24.62276882 219 0.856156173219435 0.00285513195395767 0.0666634629219492
"41" -53.399663561 -25.12276882 220 1.45415759256676 0.0124810168126119 0.0651735554225989
"42" -53.399663561 -25.62276882 221 1.41009524127686 0.01223294641532 0.0667964100041061
"43" -53.399663561 -26.12276882 222 0.827620967445454 0.00287127166635288 0.0738423416226426
"44" -53.399663561 -26.62276882 223 0.827620967445454 0.00287127166635288 0.0738423416226426
"45" -53.399663561 -27.12276882 224 1.17170474161937 0.0188495194051322 0.0730196608885664
"46" -53.399663561 -27.62276882 225 1.07590169342437 0.0184299461521608 0.0729624791624469
"47" -53.399663561 -29.12276882 228 0.0192703927444471 0.00871069557083268 0.0754486669573629
"48" -53.399663561 -29.62276882 229 0.0974542832540048 0.0121281987495406 0.0996177702182907
"49" -52.899663561 -22.12276882 260 0.0941384000161308 0.00269915539111827 0.0568210129133281
"50" -52.899663561 -22.62276882 261 1.05239394440151 0.00539222876575038 0.0543255499328217
"51" -52.899663561 -23.12276882 262 1.75534632979849 0.0108013698673088 0.0557407606655637
"52" -52.899663561 -23.62276882 263 0.886729607977272 0.00306883138565092 0.0586043665045851
"53" -52.899663561 -24.12276882 264 0.886729607977272 0.00306883138565092 0.0586043665045851
"54" -52.899663561 -24.62276882 265 0.185405039382641 0.00271926971470199 0.0655867365510898
"55" -52.899663561 -25.12276882 266 1.30935458220066 0.0124501107718219 0.0684166030970915
"56" -52.899663561 -25.62276882 267 0.800926742689149 0.00281761269670406 0.0734972384273567
"57" -52.899663561 -26.12276882 268 0.800926742689149 0.00266123065743069 0.0774319927363762
"58" -52.899663561 -26.62276882 269 0.856156173219435 0.00275397743104593 0.0765925936143237
"59" -52.899663561 -27.12276882 270 44.6466470152767 0.02127574973976 0.0729473329566719
"60" -52.899663561 -27.62276882 271 1.07590169342437 0.0177999205094924 0.0733813940881064
"61" -52.899663561 -28.12276882 272 0.791361121022542 0.00276752694649251 0.0731109388379781
"62" -52.899663561 -28.62276882 273 0.021666691837503 0.008895185409138 0.0738478961568681
"63" -52.899663561 -29.12276882 274 0.021666691837503 0.00961355741908374 0.0731371170612037
"64" -52.899663561 -29.62276882 275 0.105919873102179 0.0127364940123387 0.0968307542845399
"65" -52.399663561 -22.12276882 306 0.0810775111250015 0.0023608366544307 0.0534879167805509
"66" -52.399663561 -22.62276882 307 1.23472842321262 0.00718071530869678 0.0549483766275272
"67" -52.399663561 -23.12276882 308 1.40712114461912 0.0114563533543103 0.059876574259545
"68" -52.399663561 -23.62276882 309 0.886729607977272 0.00306883138565092 0.0586043665045851
"69" -52.399663561 -24.12276882 310 0.886729607977272 0.00303552112744226 0.0592097374692359
"70" -52.399663561 -24.62276882 311 0.178787002261833 0.00252179014568507 0.0730625575761365
"71" -52.399663561 -25.12276882 312 0.827620967445454 0.00263790105304913 0.0737763867652075
"72" -52.399663561 -25.62276882 313 0.800926742689149 0.00266123065743069 0.0774319927363762
"73" -52.399663561 -26.12276882 314 0.827620967445454 0.00269448072885657 0.0763980855671317
"74" -52.399663561 -26.62276882 315 0.886729607977272 0.00278847233850363 0.0754807780349777
"75" -52.399663561 -27.12276882 316 45.0588985784976 0.0263020495964782 0.0765580285238508
"76" -52.399663561 -27.62276882 317 0.706583143770127 0.00261779438867187 0.076946485434573
"77" -52.399663561 -28.12276882 318 1.07590169342437 0.0177999205094924 0.0733813940881064
"78" -52.399663561 -28.62276882 319 0.791361121022542 0.00276752694649251 0.0731109388379781
"79" -52.399663561 -29.12276882 320 0.0208040241640028 0.00872387752129484 0.0757805122330935
"80" -52.399663561 -29.62276882 321 0.101510711722922 0.00944109673943401 0.0719574750040106
"81" -51.899663561 -21.12276882 350 0.841822562510321 0.0045247632648278 0.0534533595694629
"82" -51.899663561 -21.62276882 351 0.79230947059795 0.00443586194627724 0.0548927397866747
"83" -51.899663561 -22.12276882 352 0.841822562510321 0.00500328585466243 0.0552408374441444
"84" -51.899663561 -22.62276882 353 1.08867994248432 0.00525337351679039 0.0521760345059871
"85" -51.899663561 -23.12276882 354 1.56946973822902 0.0120638628452582 0.0572343295366442
"86" -51.899663561 -23.62276882 355 0.886729607977272 0.00303552112744226 0.0592097374692359
"87" -51.899663561 -24.12276882 356 0.886729607977272 0.00285603378334398 0.0634693182442196
"88" -51.899663561 -24.62276882 357 0.178787002261833 0.00252268505114464 0.0730128223338181
"89" -51.899663561 -25.12276882 358 0.886729607977272 0.00306103437231014 0.0732602680905649
"90" -51.899663561 -25.62276882 359 0.827620967445454 0.0026941194332552 0.0767245665843012
"91" -51.899663561 -26.12276882 360 0.827620967445454 0.00269448072885657 0.0763980855671317
"92" -51.899663561 -26.62276882 361 0.677907364271272 0.0169183247954272 0.0745268150342994
"93" -51.899663561 -27.12276882 362 0.934211110001052 0.0165190081106794 0.0752009439620808
"94" -51.899663561 -27.62276882 363 0.638213807276244 0.00246306309463795 0.0773975542619221
"95" -51.899663561 -28.12276882 364 1.17705535240866 0.0173145798798674 0.0715239641962877
"96" -51.899663561 -28.62276882 365 1.07590169342437 0.0177999205094924 0.0733813940881064
"97" -51.899663561 -29.12276882 366 0.0208040241640028 0.00872387752129484 0.0757805122330935
"98" -51.899663561 -29.62276882 367 0.748299465614262 0.00294968558148894 0.074830674519794
"99" -51.399663561 -20.12276882 394 0.176778206090912 0.005388599888466 0.0537770192964246
"100" -51.399663561 -20.62276882 395 0.171581788264709 0.00476562266406083 0.0551924767286352
"101" -51.399663561 -21.12276882 396 0.868974903236461 0.00484097285574933 0.0518631536288174
"102" -51.399663561 -21.62276882 397 0.841822562510321 0.00500887515671396 0.0567557905073417
"103" -51.399663561 -22.12276882 398 0.953192834254814 0.00641755579766031 0.0569513092975306
"104" -51.399663561 -22.62276882 399 0.706583143770127 0.00281056365998011 0.0530595917941508
"105" -51.399663561 -23.12276882 400 0.732749186131984 0.00297863450922052 0.0580262210021319
"106" -51.399663561 -23.62276882 401 0.856156173219435 0.00280108816791987 0.0609692265778258
"107" -51.399663561 -24.12276882 402 0.827620967445454 0.00263347592351203 0.0664328290261758
"108" -51.399663561 -24.62276882 403 0.800926742689149 0.00274366565205783 0.0741022658577429
"109" -51.399663561 -25.12276882 404 0.856156173219435 0.00301266506586858 0.0744553047524045
"110" -51.399663561 -25.62276882 405 0.827620967445454 0.0026941194332552 0.0767245665843012
