"V1" "V2" "id" "site_region" "mean_age_arrival"
"0" -55.399663561 -22.62276882 31 "1" 0.724736596693064
"1" -55.399663561 -23.12276882 32 "1" 0.695259853776736
"2" -55.399663561 -23.62276882 33 "1" 0.631091251889652
"3" -55.399663561 -28.12276882 42 "2" 47.7644184072673
"4" -54.899663561 -22.12276882 76 "1" 0.737769629007687
"5" -54.899663561 -22.62276882 77 "1" 0.709692238284211
"6" -54.899663561 -23.12276882 78 "1" 0.670270447268422
"7" -54.899663561 -23.62276882 79 "1" 0.658036769400494
"8" -54.899663561 -27.62276882 87 "2" 46.4822738482831
"9" -54.899663561 -28.12276882 88 "2" 48.1265269208518
"10" -54.399663561 -21.62276882 121 "1" 0.588908388194437
"11" -54.399663561 -22.12276882 122 "1" 0.664480776643755
"12" -54.399663561 -22.62276882 123 "2" 41.1940200046158
"13" -54.399663561 -23.12276882 124 "2" 40.6402885273647
"14" -54.399663561 -23.62276882 125 "2" 41.1474619348251
"15" -54.399663561 -24.12276882 126 "2" 42.7793984104317
"16" -54.399663561 -24.62276882 127 "2" 42.9136550981541
"17" -54.399663561 -25.12276882 128 "2" 43.2319193133571
"18" -54.399663561 -25.62276882 129 "2" 43.3925687331561
"19" -54.399663561 -27.62276882 133 "2" 46.5096604724295
"20" -54.399663561 -28.12276882 134 "2" 49.2854803573721
"21" -53.899663561 -22.12276882 168 "2" 39.6232263120024
"22" -53.899663561 -22.62276882 169 "2" 40.1073268814701
"23" -53.899663561 -23.12276882 170 "2" 39.8315244623369
"24" -53.899663561 -23.62276882 171 "2" 41.1709701396611
"25" -53.899663561 -24.12276882 172 "2" 42.1694782313582
"26" -53.899663561 -24.62276882 173 "2" 42.8100704888394
"27" -53.899663561 -25.12276882 174 "2" 43.3259078805756
"28" -53.899663561 -25.62276882 175 "2" 43.1111938572735
"29" -53.899663561 -26.12276882 176 "2" 43.8376701025594
"30" -53.899663561 -26.62276882 177 "2" 44.1340639524239
"31" -53.899663561 -27.12276882 178 "2" 45.9769477271239
"32" -53.899663561 -27.62276882 179 "2" 46.2288340245553
"33" -53.899663561 -28.12276882 180 "2" 48.0271076586689
"34" -53.899663561 -29.62276882 183 "2" 50.8839439698181
"35" -53.399663561 -22.12276882 214 "2" 39.5506892171683
"36" -53.399663561 -22.62276882 215 "4" 1.14573287986114
"37" -53.399663561 -23.12276882 216 "2" 40.5016658056936
"38" -53.399663561 -23.62276882 217 "2" 41.2464474275892
"39" -53.399663561 -24.12276882 218 "2" 42.430493642104
"40" -53.399663561 -24.62276882 219 "2" 43.7356759989298
"41" -53.399663561 -25.12276882 220 "2" 44.0727011518495
"42" -53.399663561 -25.62276882 221 "2" 44.4291887758819
"43" -53.399663561 -26.12276882 222 "2" 44.9451419709897
"44" -53.399663561 -26.62276882 223 "2" 45.7772164973723
"45" -53.399663561 -27.12276882 224 "2" 47.0855743066903
"46" -53.399663561 -27.62276882 225 "2" 46.4350078278156
"47" -53.399663561 -29.12276882 228 "2" 48.5848387266425
"48" -53.399663561 -29.62276882 229 "2" 50.383492800335
"49" -52.899663561 -22.12276882 260 "2" 39.3653074528153
"50" -52.899663561 -22.62276882 261 "2" 40.2116896642455
"51" -52.899663561 -23.12276882 262 "2" 40.68651102901
"52" -52.899663561 -23.62276882 263 "1" 0.588765879619795
"53" -52.899663561 -24.12276882 264 "2" 42.6135236342494
"54" -52.899663561 -24.62276882 265 "2" 43.7618285011801
"55" -52.899663561 -25.12276882 266 "2" 44.1504049261579
"56" -52.899663561 -25.62276882 267 "2" 44.5406580347022
"57" -52.899663561 -26.12276882 268 "2" 45.1344995444857
"58" -52.899663561 -26.62276882 269 "2" 45.2128344578697
"59" -52.899663561 -27.12276882 270 "2" 45.9957811551112
"60" -52.899663561 -27.62276882 271 "2" 46.3481100872761
"61" -52.899663561 -28.12276882 272 "2" 48.0677585797066
"62" -52.899663561 -28.62276882 273 "2" 48.3563761097741
"63" -52.899663561 -29.12276882 274 "2" 47.8501129137908
"64" -52.899663561 -29.62276882 275 "2" 49.8793843760453
"65" -52.399663561 -22.12276882 306 "2" 38.7552313026793
"66" -52.399663561 -22.62276882 307 "2" 40.454515500826
