"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"79" "Campylorhamphus_trochilirostris" "40.8" 0 0 0 0 80 20 0 0 0
"80" "Campylorhynchus_turdinus" "32.6" 0 0 0 0 0 50 50 0 0
"81" "Capsiempis_flaveola" "7.7" 0 0 0 0 0 100 0 0 0
"82" "Cariama_cristata" "1400" 0 0 0 60 40 0 0 0 0
"83" "Carpornis_cucullata" "74.19" 0 0 0 0 50 50 0 0 0
"84" "Carpornis_melanocephala" "64.19" 0 0 0 0 50 50 0 0 0
"85" "Caryothraustes_canadensis" "34.5" 0 0 0 0 0 60 40 0 0
"86" "Casiornis_fuscus" "19.5" 0 0 0 0 40 30 30 0 0
"87" "Casiornis_rufus" "24.8" 0 0 0 0 40 30 30 0 0
"88" "Catharus_fuscescens" "31.9" 0 0 0 100 0 0 0 0 0
"89" "Celeus_flavescens" "139" 0 0 0 20 30 50 0 0 0
"90" "Celeus_flavus" "147.33" 0 0 0 0 20 60 20 0 0
"91" "Celeus_lugubris" "137" 0 0 0 0 0 100 0 0 0
"92" "Cercomacra_brasiliana" "16.93" 0 0 0 0 70 30 0 0 0
"93" "Certhiaxis_cinnamomeus" "15.2" 0 0 0 0 33 33 33 0 0
"94" "Chaetura_meridionalis" "22.2" 0 0 0 0 0 0 0 100 0
"95" "Chaetura_spinicaudus" "15.69" 0 0 0 0 20 10 20 50 0
"96" "Chamaeza_campanisona" "90.58" 0 0 0 80 20 0 0 0 0
"97" "Chamaeza_meruloides" "69" 0 0 0 100 0 0 0 0 0
"98" "Chamaeza_ruficauda" "71.2" 0 0 0 100 0 0 0 0 0
"99" "Charadrius_modestus" "78" 0 0 0 100 0 0 0 0 0
"100" "Chauna_torquata" "4400" 0 0 40 60 0 0 0 0 0
"101" "Chelidoptera_tenebrosa" "35.9" 0 0 0 0 0 30 30 40 0
"102" "Chiroxiphia_caudata" "25.6" 0 0 0 0 50 50 0 0 0
"103" "Chiroxiphia_pareola" "16.84" 0 0 0 0 50 50 0 0 0
"104" "Chloroceryle_aenea" "13.75" 0 90 10 0 0 0 0 0 0
"105" "Chloroceryle_amazona" "126.38" 0 100 0 0 0 0 0 0 0
"106" "Chloroceryle_inda" "52.1" 0 90 10 0 0 0 0 0 0
"107" "Chlorophonia_cyanea" "14" 0 0 0 0 0 20 80 0 0
"108" "Chlorostilbon_lucidus" "3.5" 0 0 0 0 0 90 10 0 0
"109" "Chondrohierax_uncinatus" "286.07" 0 0 0 0 50 50 0 0 0
"110" "Chordeiles_minor" "79.3" 1 0 0 0 10 0 0 90 0
"111" "Chrysolampis_mosquitus" "3.9" 0 0 0 0 50 30 20 0 0
"112" "Chrysomus_ruficapillus" "32" 0 0 0 90 10 0 0 0 0
"113" "Cichlocolaptes_leucophrus" "50" 0 0 0 0 20 80 0 0 0
"114" "Cichlopsis_leucogenys" "53.77" 0 0 0 20 30 30 20 0 0
"115" "Ciconia_maguari" "3994.99" 0 0 80 20 0 0 0 0 0
"116" "Cinclodes_fuscus" "30" 0 0 0 100 0 0 0 0 0
"117" "Cinclodes_pabsti" "53" 0 0 0 100 0 0 0 0 0
"118" "Circus_buffoni" "507.4" 0 0 0 100 0 0 0 0 0
"119" "Circus_cinereus" "399.67" 0 0 0 60 20 20 0 0 0
"120" "Cissopis_leverianus" "76" 0 0 0 20 30 30 20 0 0
"121" "Clibanornis_dendrocolaptoides" "48.2" 0 0 0 60 40 0 0 0 0
"122" "Cnemotriccus_fuscatus" "13.6" 0 0 0 40 40 20 0 0 0
"123" "Coccycua_cinerea" "41.04" 0 0 0 50 30 20 0 0 0
"124" "Coccycua_minuta" "39.3" 0 0 0 0 50 50 0 0 0
"125" "Coccyzus_americanus" "64" 0 0 0 0 0 40 60 0 0
"126" "Coccyzus_euleri" "52.3" 0 0 0 50 30 20 0 0 0
"127" "Colaptes_campestris" "158" 0 0 0 100 0 0 0 0 0
"128" "Colaptes_melanochloros" "127.27" 0 0 0 0 50 50 0 0 0
"129" "Colibri_serrirostris" "6.7" 0 0 0 0 70 30 0 0 0
"130" "Colonia_colonus" "18.3" 0 0 0 0 30 70 0 0 0
"131" "Columbina_cyanopis" "45.63" 0 0 0 100 0 0 0 0 0
"132" "Columbina_picui" "47" 0 0 0 100 0 0 0 0 0
"133" "Columbina_squammata" "52.9" 0 0 0 100 0 0 0 0 0
"134" "Compsothraupis_loricata" "72.49" 0 0 0 0 20 30 50 0 0
"135" "Conopias_trivirgatus" "24.36" 0 0 0 0 0 30 70 0 0
"136" "Conopophaga_cearae" "22" 0 0 0 60 40 0 0 0 0
"137" "Conopophaga_lineata" "25.21" 0 0 0 60 40 0 0 0 0
"138" "Conopophaga_melanops" "20.1" 0 0 0 60 40 0 0 0 0
"139" "Contopus_cinereus" "11.6" 0 0 0 0 30 70 0 0 0
"140" "Corythopis_delalandi" "15" 0 0 0 80 20 0 0 0 0
"141" "Coscoroba_coscoroba" "4294.78" 0 0 50 50 0 0 0 0 0
"142" "Cotinga_maculata" "65" 0 0 0 0 30 50 20 0 0
"143" "Coturnicops_notatus" "30" 0 0 0 80 20 0 0 0 0
"144" "Cranioleuca_obsoleta" "13.4" 0 0 0 0 0 70 30 0 0
"145" "Cranioleuca_pallida" "11.5" 0 0 0 0 0 50 50 0 0
"146" "Cranioleuca_semicinerea" "15" 0 0 0 0 0 50 50 0 0
"147" "Cranioleuca_vulpina" "15.7" 0 0 0 0 50 50 0 0 0
"148" "Crax_blumenbachii" "3500" 0 0 0 60 20 20 0 0 0
"149" "Crax_fasciolata" "2600" 0 0 0 80 20 0 0 0 0
"150" "Crotophaga_major" "148.25" 0 0 0 30 20 20 30 0 0
"151" "Crypturellus_noctivagus" "561.99" 0 0 0 100 0 0 0 0 0
"152" "Crypturellus_obsoletus" "443.4" 0 0 0 100 0 0 0 0 0
"153" "Crypturellus_parvirostris" "198.99" 0 0 0 100 0 0 0 0 0
"154" "Crypturellus_strigulosus" "430.58" 0 0 0 80 20 0 0 0 0
"155" "Crypturellus_tataupa" "218.8" 0 0 0 50 50 0 0 0 0
"156" "Crypturellus_undulatus" "564.42" 0 0 0 100 0 0 0 0 0
"157" "Crypturellus_variegatus" "378" 0 0 0 100 0 0 0 0 0
"158" "Culicivora_caudacuta" "8" 0 0 0 0 100 0 0 0 0
"159" "Cyanocorax_chrysops" "166" 0 0 0 10 30 30 30 0 0
"160" "Cyanocorax_cristatellus" "178" 0 0 0 60 20 20 0 0 0
"161" "Cyanocorax_cyanomelas" "207" 0 0 0 20 30 40 10 0 0
"162" "Cyanocorax_cyanopogon" "146" 0 0 0 10 30 30 30 0 0
"163" "Cyanoloxia_glaucocaerulea" "18.2" 0 0 0 50 50 0 0 0 0
"164" "Cygnus_melancoryphus" "4711.68" 0 0 100 0 0 0 0 0 0
"165" "Cypseloides_fumigatus" "41.95" 0 0 0 0 0 0 0 100 0
"166" "Cypseloides_senex" "82.25" 0 0 0 0 0 0 0 100 0
"167" "Cypsnagra_hirundinacea" "31.4" 0 0 0 30 50 10 0 10 0
"168" "Dacnis_cayana" "13" 0 0 0 0 0 30 60 10 0
"169" "Dacnis_nigripes" "14" 0 0 0 0 70 30 0 0 0
"170" "Dendrocincla_turdina" "39" 0 0 0 0 40 60 0 0 0
"171" "Dendrocolaptes_certhia" "68.7" 0 0 0 0 10 90 0 0 0
"172" "Dendrocolaptes_platyrostris" "61.7" 0 0 0 50 50 0 0 0 0
"173" "Dendrocygna_viduata" "689.99" 0 80 20 0 0 0 0 0 0
"174" "Dendroplex_picus" "41.34" 0 0 0 0 20 80 0 0 0
"175" "Discosura_langsdorffi" "2.8" 0 0 0 0 0 40 60 0 0
"176" "Discosura_longicaudus" "3.4" 0 0 0 0 0 20 80 0 0
"177" "Donacobius_atricapilla" "36.8" 0 0 0 0 50 50 0 0 0
"178" "Dromococcyx_pavoninus" "46.4" 0 0 0 50 50 0 0 0 0
"179" "Drymophila_ferruginea" "10.6" 0 0 0 0 30 70 0 0 0
"180" "Drymophila_genei" "11.08" 0 0 0 40 40 20 0 0 0
"181" "Drymophila_malura" "13" 0 0 0 40 40 20 0 0 0
"182" "Drymophila_ochropyga" "10.5" 0 0 0 40 40 20 0 0 0
"183" "Drymophila_rubricollis" "10" 0 0 0 0 20 80 0 0 0
"184" "Drymophila_squamata" "10.8" 0 0 0 40 40 20 0 0 0
"185" "Dysithamnus_plumbeus" "20.5" 0 0 0 40 40 20 0 0 0
"186" "Dysithamnus_stictothorax" "16.16" 0 0 0 0 30 70 0 0 0
"187" "Dysithamnus_xanthopterus" "16.16" 0 0 0 0 0 100 0 0 0
"188" "Elaenia_albiceps" "15.5" 0 0 0 0 0 100 0 0 0
"189" "Elaenia_chiriquensis" "15.4" 0 0 0 0 40 60 0 0 0
"190" "Elaenia_cristata" "18.2" 0 0 0 0 30 40 30 0 0
"191" "Elaenia_mesoleuca" "17.6" 0 0 0 0 20 40 40 0 0
"192" "Elaenia_parvirostris" "13.8" 0 0 0 0 33 33 33 0 0
"193" "Elaenia_spectabilis" "27.3" 0 0 0 0 0 0 100 0 0
"194" "Elanoides_forficatus" "416.24" 0 0 0 0 50 50 0 0 0
"195" "Eleoscytalopus_indigoticus" "16.15" 0 0 0 60 40 0 0 0 0
"196" "Eleoscytalopus_psychopompus" "17.8" 0 0 0 50 30 20 0 0 0
"197" "Eleothreptus_candicans" "49.3" 1 0 0 20 40 40 0 0 0
"198" "Empidonomus_varius" "27.1" 0 0 0 0 30 70 0 0 0
"199" "Eudocimus_ruber" "660.08" 0 0 50 50 0 0 0 0 0
"200" "Eupetomena_macroura" "9" 0 0 0 0 0 60 30 10 0
"201" "Euphonia_chalybea" "19" 0 0 0 0 50 50 0 0 0
"202" "Euphonia_chlorotica" "11" 0 0 0 0 0 10 90 0 0
"203" "Euphonia_cyanocephala" "14" 0 0 0 0 20 40 40 0 0
