"sp" "Body_size_mm" "Diu" "Noc" "Crepu" "Fos" "Ter" "Aqu" "Arb"
"448" "Pseudis_bolbodactyla" "58" 0 1 0 0 0 1 0
"449" "Pseudis_cardosoi" "55.9" 0 1 0 0 0 1 0
"450" "Pseudis_fusca" "53" 0 1 0 0 0 1 0
"451" "Pseudis_minuta" "51.1" 0 1 0 0 0 1 0
"452" "Pseudis_paradoxa" "75" 0 1 0 0 0 1 0
"453" "Pseudis_platensis" "57.5" 0 1 0 0 0 1 0
"456" "Pseudopaludicola_falcipes" "18.1" 1 1 0 0 1 1 0
"458" "Pseudopaludicola_mineira" "17.4" 1 0 0 0 1 1 0
"459" "Pseudopaludicola_murundu" "16" 0 1 1 0 1 1 0
"460" "Pseudopaludicola_mystacalis" "18.9" 1 0 0 0 1 1 0
"462" "Pseudopaludicola_saltica" "22" 1 1 0 0 1 1 0
"463" "Rhinella_abei" "83.9" 0 1 0 0 1 1 0
"464" "Rhinella_achavali" "120" 0 1 0 0 1 1 0
"466" "Rhinella_azarai" "45.45" 0 1 0 0 1 1 0
"467" "Rhinella_bergi" "49.93" 1 1 0 0 1 1 0
"469" "Rhinella_crucifer" "130" 0 1 0 0 1 1 0
"470" "Rhinella_diptycha" "130" 0 1 0 0 1 1 0
"471" "Rhinella_dorbignyi" "70" 1 0 1 0 1 1 0
"472" "Rhinella_fernandezae" "76" 1 1 0 0 1 1 0
"473" "Rhinella_granulosa" "90" 0 1 0 0 1 1 0
"474" "Rhinella_henseli" "63.9" 0 1 0 0 1 1 0
"475" "Rhinella_hoogmoedi" "42" 0 1 0 0 1 1 0
"476" "Rhinella_icterica" "190" 1 1 1 0 1 1 0
"477" "Rhinella_jimi" "145" 0 1 0 0 1 1 0
"478" "Rhinella_margaritifera" "74" 1 0 0 0 1 1 0
"480" "Rhinella_mirandaribeiroi" "60.34" 0 1 0 0 1 1 0
"482" "Rhinella_ornata" "84.29" 1 1 1 0 1 1 0
"483" "Rhinella_pombali" "119" 1 1 1 0 1 1 0
"484" "Rhinella_pygmaea" "41" 0 1 0 1 1 1 0
"487" "Scinax_acuminatus" "48" 0 1 0 0 1 1 1
"488" "Scinax_agilis" "19.5" 1 1 0 0 1 1 1
"489" "Scinax_albicans" "46.94" 0 1 0 0 1 1 1
"490" "Scinax_alter" "32" 0 1 0 0 1 1 1
"491" "Scinax_angrensis" "39.2" 1 1 0 0 1 1 1
"493" "Scinax_argyreornatus" "23" 0 1 0 0 1 1 1
"494" "Scinax_ariadne" "46.5" 0 1 0 0 1 1 1
"495" "Scinax_aromothyella" "31.8" 0 1 0 0 0 1 1
"498" "Scinax_belloni" "39" 0 1 0 0 0 1 1
"500" "Scinax_brieni" "40" 0 1 0 0 1 1 1
"503" "Scinax_caldarum" "35" 0 1 0 0 1 1 1
"506" "Scinax_carnevallii" "32" 0 1 0 0 1 1 1
"507" "Scinax_catharinae" "45.5" 0 1 0 0 1 0 1
"510" "Scinax_crospedospilus" "37.6" 0 1 0 0 1 1 1
"512" "Scinax_cuspidatus" "32.5" 0 1 0 0 1 1 1
"513" "Scinax_duartei" "37" 0 1 0 0 1 1 1
"514" "Scinax_eurydice" "53.8" 0 1 0 0 1 1 1
"515" "Scinax_flavoguttatus" "45.4" 0 1 0 0 1 1 1
"516" "Scinax_fuscomarginatus" "26.7" 0 1 0 0 1 1 1
"517" "Scinax_fuscovarius" "55.3" 0 1 0 0 1 1 1
"518" "Scinax_granulatus" "43" 0 1 0 0 1 0 1
"519" "Scinax_hayii" "53" 0 1 0 0 1 1 1
"520" "Scinax_heyeri" "35.6" 0 1 0 0 1 1 1
"521" "Scinax_hiemalis" "34.4" 0 1 0 0 1 1 1
"522" "Scinax_humilis" "40.9" 0 1 0 0 1 1 1
"523" "Scinax_imbegue" "32" 0 1 0 0 0 1 1
"524" "Scinax_insperatus" "23" 0 1 0 0 0 1 1
"525" "Scinax_juncae" "27" 0 1 0 0 1 1 1
"527" "Scinax_littoralis" "39.9" 0 1 1 0 1 1 1
"528" "Scinax_littoreus" "25.5" 0 1 1 0 1 1 1
"529" "Scinax_longilineus" "48" 0 1 0 0 1 1 1
"530" "Scinax_luizotavioi" "30" 0 1 0 0 1 1 1
"531" "Scinax_machadoi" "26" 0 1 0 0 1 1 1
"536" "Scinax_nasicus" "39" 0 1 0 0 1 1 1
"537" "Scinax_obtriangulatus" "39" 0 1 0 0 1 1 1
"538" "Scinax_pachycrus" "33" 0 1 0 0 1 1 1
"539" "Scinax_perereca" "42.2" 0 1 0 0 1 1 1
"540" "Scinax_perpusillus" "25" 0 1 1 0 1 1 1
