sp;body_mass_g.avg.;fossorial;ground_dwelling;aboveground_dwelling;aquatic;cathemeral;crepuscular;diurnal;nocturnal;area_m2;Littersize;LittersPerYear;foraging_stratum;activity_cycle
Cerradomys_maracajuensis;91;0;1;0;0;NA;NA;NA;NA;4.91E+11;3;NA;G;2
Cerradomys_maracajuensis;91;0;1;0;0;NA;NA;NA;NA;4.72E+11;3;NA;G;2
Cerradomys_scotti;91.95;0;1;1;0;NA;NA;NA;NA;1.64E+12;4.585;NA;G;2
Cerradomys_scotti;91.95;0;1;1;0;NA;NA;NA;NA;1.64E+12;4.585;NA;G;2
Cerradomys_subflavus;49.91;0;1;1;0;0;0;0;1;1.46E+12;4.37;NA;G;2
Chacodelphys_formosa;22.88;NA;NA;NA;NA;NA;NA;NA;NA;3712850546;NA;NA;S;NA
Chaetomys_subspinosus;1299.99;0;0;1;0;0;0;1;1;1.27E+11;1;1;Ar;1
Chaetophractus_vellerosus;930.16;1;1;0;0;0;0;0;1;1.90E+12;2;NA;G;2
Chaetophractus_villosus;4372.8;1;1;0;0;0;0;1;1;2.55E+12;1.62;1;G;2
Chaetophractus_villosus;4372.8;1;1;0;0;0;0;1;1;1364316913;1.62;1;G;2
Chironectes_minimus;700;1;1;0;1;0;0;0;1;6.23E+12;3;2;G;1
Chrysocyon_brachyurus;23325;0;1;0;0;0;1;0;1;4.34E+12;2;1;G;2
Clyomys_laticeps;201;1;1;0;0;0;0;0;1;1.70E+12;1;1;G;1
Coendou_insidiosus;998.32;0;0;1;0;0;0;0;1;1.72E+11;0.97;NA;Ar;1
Coendou_prehensilis;4116.2;0;0;1;0;0;0;1;1;4854327010;0.98;1.11;Ar;1
Coendou_prehensilis;4116.2;0;0;1;0;0;0;1;1;1.23E+13;0.98;1.11;Ar;1
Coendou_speratus;1437.5;0;0;1;0;0;0;1;1;312168102.2;NA;NA;NA;NA
Coendou_spinosus;750.78;0;0;1;0;0;0;1;1;1.32E+12;1;NA;Ar;1
Conepatus_chinga;3400;0;1;0;0;0;0;0;1;5.08E+12;3.5;1;G;NA
Conepatus_semistriatus;1997.34;0;1;0;0;0;0;0;1;2.02E+12;3.49;NA;G;1
Cryptonanus_agricolai;18;0;1;1;0;NA;NA;NA;NA;1.14E+12;NA;NA;S;NA
Cryptonanus_chacoensis;15.5;0;1;0;0;NA;NA;NA;NA;8.80E+11;NA;NA;NA;NA
Cryptonanus_guahybae;19.5;0;1;1;0;NA;NA;NA;NA;6122368660;NA;NA;NA;NA
Cryptonanus_guahybae;19.5;0;1;1;0;NA;NA;NA;NA;1446457678;NA;NA;NA;NA
Ctenomys_flamarioni;249.03;1;0;0;0;NA;NA;NA;NA;35817193621;1.6;2;G;2
Ctenomys_flamarioni;249.03;1;0;0;0;NA;NA;NA;NA;35817193621;1.6;2;G;2
Ctenomys_ibicuiensis;200;1;0;0;0;NA;NA;NA;NA;9963050078;NA;NA;NA;NA
Ctenomys_ibicuiensis;200;1;0;0;0;NA;NA;NA;NA;9963050078;NA;NA;NA;NA
Ctenomys_lami;307;1;0;0;0;NA;NA;NA;NA;11407790740;2.04;2;G;NA
Ctenomys_minutus;92;1;0;0;0;0;0;0;1;54965779255;1.5;2;G;2
Ctenomys_torquatus;209.49;1;0;0;0;0;0;1;1;2.41E+11;2.5;NA;G;2
Cuniculus_paca;8172.55;0;1;0;0;0;0;0;1;1.07E+11;1.01;1.75;G;1
Cuniculus_paca;8172.55;0;1;0;0;0;0;0;1;1.33E+13;1.01;1.75;G;1
Cyclopes_didactylus;263.95;0;0;1;0;0;0;0;1;28473671899;1;2;Ar;1
Cyclopes_didactylus;263.95;0;0;1;0;0;0;0;1;7.86E+12;1;2;Ar;1
