sp;body_mass_g.avg.;fossorial;ground_dwelling;aboveground_dwelling;aquatic;cathemeral;crepuscular;diurnal;nocturnal;area_m2;Littersize;LittersPerYear;foraging_stratum;activity_cycle
Sapajus_flavius;2400;0;0;1;0;0;0;1;0;38620037451;1;0.5;NA;NA
Sapajus_libidinosus;2851.29;0;0;1;0;0;0;1;0;2.61E+12;1;0.5;Ar;3
Sapajus_libidinosus;2851.29;0;0;1;0;0;0;1;0;2.61E+12;1;0.5;Ar;3
Sapajus_nigritus;2851.29;0;0;1;0;0;0;1;0;8.80E+11;1;0.5;Ar;3
Sapajus_nigritus;2851.29;0;0;1;0;0;0;1;0;8.80E+11;1;0.5;Ar;3
Sapajus_robustus;2851.29;0;0;1;0;0;0;1;0;1.20E+11;1.05;0.6;Ar;3
Sapajus_robustus;2851.29;0;0;1;0;0;0;1;0;1.20E+11;1.05;0.6;Ar;3
Sapajus_xanthosternos;3050;0;0;1;0;0;0;1;0;4.67E+11;1.05;0.6;Ar;3
Scapteromys_aquaticus;146;0;1;0;1;0;0;0;1;2.60E+11;3.63;NA;G;2
Scapteromys_tumidus;146;0;1;0;1;1;0;0;0;2.59E+11;3.63;NA;G;2
Sciurus_aestuans;177.34;0;1;1;0;0;0;1;0;6.94E+12;3;1;Ar;3
Sooretamys_angouya;120.17;0;1;1;0;0;0;0;1;1.39E+12;NA;NA;G;2
Speothos_venaticus;6324.54;0;1;0;0;0;0;1;0;1.14E+13;3.8;2;G;2
Sylvilagus_brasiliensis;863.5;0;1;0;0;0;1;0;1;7611823135;1.35;3.9;G;2
Sylvilagus_tapetillus;968.37;NA;NA;NA;NA;NA;NA;NA;NA;7333919858;2.55;4.6;G;2
Tamandua_tetradactyla;4800;0;1;1;0;1;0;0;0;1.27E+13;1;1;S;2
Tamandua_tetradactyla;4800;0;1;1;0;1;0;0;0;4854327008;1;1;S;2
Tapirus_terrestris;169496.64;0;1;0;0;0;0;0;1;3.22E+12;1;1;G;1
Tapirus_terrestris;169496.64;0;1;0;0;0;0;0;1;8.04E+12;1;1;G;1
Tapirus_terrestris;169496.64;0;1;0;0;0;0;0;1;1.78E+12;1;1;G;1
Tapirus_terrestris;169496.64;0;1;0;0;0;0;0;1;28620831634;1;1;G;1
Tayassu_pecari;31798.71;0;1;0;0;0;0;1;0;8.34E+12;2;1;G;2
Tayassu_pecari;31798.71;0;1;0;0;0;0;1;0;2.44E+12;2;1;G;2
Tayassu_pecari;31798.71;0;1;0;0;0;0;1;0;2.97E+12;2;1;G;2
Thalpomys_cerradensis;23.99;0;1;0;0;0;0;0;1;4.89E+11;NA;NA;G;NA
Thalpomys_lasiotis;23.99;0;1;0;0;0;0;0;1;5.55E+11;2;NA;G;NA
Thaptomys_nigrita;19.9;1;1;0;0;0;0;1;1;1.06E+12;3;NA;G;2
Thrichomys_apereoides;297.53;1;1;1;0;0;1;0;1;1.17E+12;3.2;2.5;G;1
Thrichomys_laurentius;404.3;0;1;1;0;0;0;1;1;1.10E+12;11;NA;NA;NA
Thylamys_karimii;26.76;0;0;1;0;0;1;0;1;1.43E+12;NA;NA;S;1
Thylamys_macrurus;38;0;0;1;0;0;1;0;0;88365317009;NA;NA;S;1
Thylamys_velutinus;20.69;0;0;1;0;0;0;0;1;5.65E+11;NA;NA;S;1
Tolypeutes_matacus;1303.47;1;1;0;0;1;0;0;0;1.20E+12;1;1;G;2
Tolypeutes_tricinctus;1465.72;0;1;0;0;1;0;0;0;9.33E+11;0.93;1;G;2
Trinomys_albispinus;284.99;0;1;0;0;0;0;0;1;70213433557;2;NA;G;1
Trinomys_dimidiatus;167.6;0;1;0;0;0;0;0;1;63999359583;2;NA;G;1
Trinomys_eliasi;229;0;1;0;0;0;1;0;1;4166815950;3;4;G;NA
Trinomys_gratiosus;203.498;NA;NA;NA;NA;NA;NA;NA;NA;67225707131;1.37;NA;G;NA
Trinomys_iheringi;220.39;0;1;0;0;0;0;0;1;7.02E+11;0.97;4;G;1
Trinomys_mirapitanga;242.2;0;1;0;0;NA;NA;NA;NA;571008774.8;NA;NA;G;NA
Trinomys_moojeni;170;0;1;0;0;0;0;0;1;4672097687;2;NA;G;1
Trinomys_paratus;279.5;0;1;0;0;NA;NA;NA;NA;28264960496;NA;NA;G;NA
Trinomys_setosus;284.99;0;1;0;0;0;0;0;1;4.15E+11;NA;NA;G;1
Wiedomys_pyrrhorhinos;46.7;0;1;1;0;0;0;0;1;6.95E+11;3.8;NA;Ar;1
Wilfredomys_oenax;46.8;0;0;1;0;0;0;0;1;5.13E+11;NA;NA;G;1
