sp;Body_size_mm;Diu;Noc;Crepu;Fos;Ter;Aqu;Arb;area_m;Brood.Size
Physalaemus_evangelistai;23;0;1;0;0;1;1;0;2924289913.00;73.27
Physalaemus_feioi;31.2;0;1;0;0;1;1;0;45392816341.00;NA
Physalaemus_gracilis;40;0;1;0;0;1;1;0;541000000000.00;282.84
Physalaemus_henselii;27.7;0;1;0;0;1;1;0;500000000000.00;273.86
Physalaemus_insperatus;26.7;NA;NA;NA;0;1;1;0;55986505.49;NA
Physalaemus_irroratus;22.9;0;1;0;0;1;1;0;140476703.60;NA
Physalaemus_jordanensis;24;0;1;0;0;1;1;0;8985459754.00;NA
Physalaemus_kroyeri;35;0;1;1;0;1;1;0;285000000000.00;1366.61
Physalaemus_lateristriga;40.3;0;1;0;0;1;1;0;27194021969.00;NA
Physalaemus_lisei;28.25;0;1;0;0;1;1;0;57482475359.00;458.26
Physalaemus_maculiventris;25;0;1;0;0;1;1;0;116000000000.00;129
Physalaemus_marmoratus;39;0;1;0;0;1;1;0;2030000000000.00;1920.46
Physalaemus_maximus;45;0;1;0;0;1;1;0;1605518095.00;NA
Physalaemus_moreirae;28.2;0;1;0;0;1;1;0;3471334043.00;NA
Physalaemus_nanus;20;0;1;0;0;1;1;0;37936896607.00;73.48
Physalaemus_nattereri;51.3;0;1;0;0;1;1;0;2310000000000.00;2942.7
Physalaemus_obtectus;24.93;0;1;0;0;1;1;0;21119993662.00;NA
Physalaemus_olfersii;41;0;1;0;0;1;1;0;218000000000.00;651.06
Physalaemus_orophilus;28.1;NA;NA;NA;0;1;1;0;16651721397.00;NA
Physalaemus_riograndensis;16.91;NA;NA;NA;0;1;1;0;511000000000.00;223.61
Physalaemus_rupestris;17.75;0;1;0;0;1;1;0;103979369.50;34
Physalaemus_signifer;26.72;1;1;0;0;1;1;0;128000000000.00;273
Physalaemus_soaresi;22.8;0;1;0;0;1;1;0;36609353.80;NA
Physalaemus_spiniger;22.7;1;1;0;0;1;1;0;14589260613.00;58.34
Pipa_carvalhoi;68;1;1;0;0;0;1;0;463000000000.00;204.94
Pithecopus_ayeaye;46.1;0;1;0;0;0;0;1;90178654.04;NA
Pithecopus_azureus;43.1;0;1;0;0;0;0;1;2120000000000.00;NA
Pithecopus_hypochondrialis;NA;1;1;0;0;0;0;1;8180000000000.00;NA
Pithecopus_megacephalus;NA;0;1;0;0;0;0;1;1972708077.00;NA
Pithecopus_nordestinus;37;0;1;0;0;0;0;1;1020000000000.00;NA
Pithecopus_rohdei;46;0;1;0;0;0;0;1;149000000000.00;NA
Pleurodema_alium;36.1;0;1;0;0;1;1;0;27588035341.00;NA
Pleurodema_bibroni;34.8;0;1;0;0;1;1;0;310000000000.00;447.21
Pleurodema_diplolister;20;0;1;0;1;1;0;0;1390000000000.00;650
Pristimantis_paulodutrai;36;0;1;0;0;1;0;0;48419925415.00;NA
Pristimantis_ramagii;24;0;1;0;0;1;0;0;152000000000.00;10
Pristimantis_vinhai;25;0;1;0;0;1;0;0;48419925415.00;NA
Proceratophrys_appendiculata;63.2;1;1;1;1;1;1;0;100000000000.00;546.73
Proceratophrys_avelinoi;36.5;1;1;0;1;1;1;0;242000000000.00;NA
Proceratophrys_belzebul;62;1;1;0;1;1;1;0;286457044.20;NA
Proceratophrys_bigibbosa;53.4;1;1;0;1;1;1;0;30208341755.00;NA
Proceratophrys_boiei;74.3;0;1;0;1;1;1;0;641000000000.00;1296
Proceratophrys_brauni;39.8;1;1;1;1;1;1;0;10048791913.00;NA
Proceratophrys_cristiceps;50.2;0;1;0;1;1;1;0;612000000000.00;NA
Proceratophrys_cururu;53.9;0;1;0;1;1;1;0;1279479591.00;NA
Proceratophrys_goyana;62.6;0;1;0;1;1;1;0;41620857024.00;NA
Proceratophrys_izecksohni;54.1;1;1;0;1;1;1;0;154352992.20;NA
Proceratophrys_laticeps;82.7;1;1;0;1;1;1;0;76235480521.00;NA
Proceratophrys_mantiqueira;54.3;1;1;0;1;1;1;0;4847315727.00;NA
Proceratophrys_melanopogon;65.8;0;1;0;1;1;1;0;15675044861.00;664
Proceratophrys_moehringi;63.6;1;0;1;1;1;1;0;5599170638.00;NA
Proceratophrys_palustris;33.8;1;1;0;1;1;1;0;909884818.50;NA
Proceratophrys_paviotii;56.6;0;1;0;1;1;1;0;3294418.55;NA
Proceratophrys_phyllostoma;76.6;NA;NA;NA;1;1;1;0;123908948.10;NA
Proceratophrys_pombali;33.8;0;1;1;1;1;1;0;1143179700.00;NA
Proceratophrys_renalis;55;0;1;0;1;1;1;0;533000000000.00;NA
Proceratophrys_schirchi;50;0;1;0;1;1;1;0;113000000000.00;NA
Proceratophrys_subguttata;58.9;0;1;0;1;1;1;0;17641657936.00;NA
Proceratophrys_tupinamba;72.8;1;1;1;1;1;1;0;2.86;830.44
Proceratophrys_vielliardi;45.5;0;1;0;1;1;1;0;21781383233.00;NA
Pseudis_bolbodactyla;58;0;1;0;0;0;1;0;943000000000.00;230
Pseudis_cardosoi;55.9;0;1;0;0;0;1;0;15979438337.00;118.32
Pseudis_fusca;53;0;1;0;0;0;1;0;86882433318.00;NA
Pseudis_minuta;51.1;0;1;0;0;0;1;0;484000000000.00;436.35
Pseudis_paradoxa;75;0;1;0;0;0;1;0;7740000000000.00;1558.08
Pseudis_platensis;57.5;0;1;0;0;0;1;0;536000000000.00;630.85
Pseudopaludicola_atragula;16.7;1;0;0;0;1;1;0;12566892716.00;NA
Pseudopaludicola_boliviana;14.1;1;1;1;0;1;1;0;4070000000000.00;126.29
Pseudopaludicola_falcipes;18.1;1;1;0;0;1;1;0;1640000000000.00;300
Pseudopaludicola_jaredi;15.9;0;1;0;0;1;1;0;92484555365.00;NA
Pseudopaludicola_mineira;17.4;1;0;0;0;1;1;0;1552303491.00;NA
Pseudopaludicola_murundu;16;0;1;1;0;1;1;0;36344863258.00;32
Pseudopaludicola_mystacalis;18.9;1;0;0;0;1;1;0;2620000000000.00;110.16
Pseudopaludicola_pocoto;13.9;0;1;0;0;1;1;0;455000000000.00;NA
Pseudopaludicola_saltica;22;1;1;0;0;1;1;0;957000000000.00;79.09
Rhinella_abei;83.9;0;1;0;0;1;1;0;30118258467.00;NA
Rhinella_achavali;120;0;1;0;0;1;1;0;172000000000.00;NA
Rhinella_arenarum;115.5;NA;NA;NA;0;1;1;0;1670000000000.00;11669.79
Rhinella_azarai;45.45;0;1;0;0;1;1;0;120000000000.00;5334.41
Rhinella_bergi;49.93;1;1;0;0;1;1;0;514000000000.00;NA
Rhinella_cerradensis;147;NA;NA;NA;0;1;1;0;218000000000.00;NA
Rhinella_crucifer;130;0;1;0;0;1;1;0;378000000000.00;3056.03
Rhinella_diptycha;130;0;1;0;0;1;1;0;3806737377.00;NA
Rhinella_dorbignyi;70;1;0;1;0;1;1;0;447000000000.00;9000
Rhinella_fernandezae;76;1;1;0;0;1;1;0;557000000000.00;4738.67
Rhinella_granulosa;90;0;1;0;0;1;1;0;11000000000000.00;2606.38
Rhinella_henseli;63.9;0;1;0;0;1;1;0;106000000000.00;NA
Rhinella_hoogmoedi;42;0;1;0;0;1;1;0;265000000000.00;NA
Rhinella_icterica;190;1;1;1;0;1;1;0;1540000000000.00;2905.2
Rhinella_jimi;145;0;1;0;0;1;1;0;659000000000.00;NA
Rhinella_margaritifera;74;1;0;0;0;1;1;0;8970000000000.00;681.91
Rhinella_marina;241;1;1;1;0;1;1;0;8450000000000.00;12016.66
Rhinella_mirandaribeiroi;60.34;0;1;0;0;1;1;0;3040000000000.00;NA
Rhinella_ocellata;53;NA;NA;NA;0;1;1;0;1070000000000.00;1003.99
Rhinella_ornata;84.29;1;1;1;0;1;1;0;187000000000.00;2967.97
Rhinella_pombali;119;1;1;1;0;1;1;0;167000000000.00;NA
Rhinella_pygmaea;41;0;1;0;1;1;1;0;17301966665.00;4140
Rhinella_rubescens;130;NA;NA;NA;0;1;1;0;1500000000000.00;NA
Rhinella_sebbeni;66.7;0;1;0;0;1;1;0;1734656745.00;NA
Scinax_acuminatus;48;0;1;0;0;1;1;1;1010000000000.00;896.15
Scinax_agilis;19.5;1;1;0;0;1;1;1;25386651055.00;NA
Scinax_albicans;46.94;0;1;0;0;1;1;1;17564328757.00;631.5
Scinax_alter;32;0;1;0;0;1;1;1;351000000000.00;295.21
Scinax_angrensis;39.2;1;1;0;0;1;1;1;1381870859.00;523.61
Scinax_arduous;26.2;1;1;0;0;1;1;1;14843204.25;NA
Scinax_argyreornatus;23;0;1;0;0;1;1;1;185000000000.00;94.15
Scinax_ariadne;46.5;0;1;0;0;1;1;1;976860406.30;NA
Scinax_aromothyella;31.8;0;1;0;0;0;1;1;17292079.53;489.9
Scinax_atratus;20;NA;NA;NA;0;1;1;1;1257583676.00;NA
Scinax_auratus;24.7;NA;NA;NA;0;1;1;1;122000000000.00;NA
Scinax_belloni;39;0;1;0;0;0;1;1;11734178.41;NA
Scinax_berthae;25;NA;NA;NA;0;1;1;1;900000000000.00;NA
Scinax_brieni;40;0;1;0;0;1;1;1;43951412122.00;NA
Scinax_cabralensis;25;NA;NA;NA;0;0;1;1;1551931731.00;NA
Scinax_caissara;NA;NA;NA;NA;NA;NA;NA;NA;654798417.80;NA
Scinax_caldarum;35;0;1;0;0;1;1;1;66099153678.00;NA
Scinax_camposseabrai;35.9;NA;NA;NA;0;1;1;0;21783720809.00;NA
Scinax_cardosoi;NA;0;1;0;0;1;1;1;24114774540.00;NA
Scinax_carnevallii;32;0;1;0;0;1;1;1;32080644802.00;NA
Scinax_catharinae;45.5;0;1;0;0;1;0;1;63230949135.00;424.26
Scinax_constrictus;35.6;NA;NA;NA;0;1;0;0;57434847485.00;207
Scinax_cretatus;NA;NA;NA;NA;NA;NA;NA;NA;85416164278.00;NA
Scinax_crospedospilus;37.6;0;1;0;0;1;1;1;40155621089.00;NA
Scinax_curicica;31.5;NA;NA;NA;0;1;0;1;18380088.38;NA
Scinax_cuspidatus;32.5;0;1;0;0;1;1;1;204000000000.00;125.42
Scinax_duartei;37;0;1;0;0;1;1;1;28762032228.00;384.71
Scinax_eurydice;53.8;0;1;0;0;1;1;1;453000000000.00;1686.04
Scinax_flavoguttatus;45.4;0;1;0;0;1;1;1;161000000000.00;NA
Scinax_fuscomarginatus;26.7;0;1;0;0;1;1;1;5100000000000.00;279.08
Scinax_fuscovarius;55.3;0;1;0;0;1;1;1;4960000000000.00;1547.45
Scinax_granulatus;43;0;1;0;0;1;0;1;646000000000.00;1090.87
Scinax_hayii;53;0;1;0;0;1;1;1;179000000000.00;1913.84
Scinax_heyeri;35.6;0;1;0;0;1;1;1;1165862033.00;NA
Scinax_hiemalis;34.4;0;1;0;0;1;1;1;53182319561.00;270
Scinax_humilis;40.9;0;1;0;0;1;1;1;43320183228.00;NA
Scinax_imbegue;32;0;1;0;0;0;1;1;19889789456.00;NA
Scinax_insperatus;23;0;1;0;0;0;1;1;19673970.99;NA
Scinax_juncae;27;0;1;0;0;1;1;1;12650149148.00;NA
Scinax_jureia;33.6;0;1;0;0;1;1;1;281104508.10;120
Scinax_littoralis;39.9;0;1;1;0;1;1;1;9563407600.00;528.2
Scinax_littoreus;25.5;0;1;1;0;1;1;1;5211960360.00;6.71
Scinax_longilineus;48;0;1;0;0;1;1;1;78862901295.00;NA
Scinax_luizotavioi;30;0;1;0;0;1;1;1;226000000000.00;NA
Scinax_machadoi;26;0;1;0;0;1;1;1;28669019421.00;NA
Scinax_maracaya;28;NA;NA;NA;0;1;1;1;3536366630.00;NA
Scinax_melanodactylus;NA;NA;NA;NA;NA;NA;NA;NA;21477070694.00;NA
Scinax_melloi;18.7;NA;NA;NA;0;1;1;1;1030900383.00;NA
Scinax_muriciensis;NA;NA;NA;NA;NA;NA;NA;NA;9819933.33;NA
Scinax_nasicus;39;0;1;0;0;1;1;1;2590000000000.00;143.5
Scinax_obtriangulatus;39;0;1;0;0;1;1;1;85486674469.00;NA
Scinax_pachycrus;33;0;1;0;0;1;1;1;379000000000.00;NA
Scinax_perereca;42.2;0;1;0;0;1;1;1;326000000000.00;614.82
Scinax_perpusillus;25;0;1;1;0;1;1;1;62857711006.00;6.71
Scinax_pinima;29;NA;NA;NA;0;1;1;0;1055943460.00;NA
Scinax_ranki;28.7;0;1;0;0;1;1;1;2498306358.00;NA
Scinax_rizibilis;34;1;1;0;0;1;1;1;113000000000.00;1131.37
Scinax_rogerioi;35.6;0;1;0;0;1;0;1;9611984162.00;NA
Scinax_rossaferesae;NA;NA;NA;NA;NA;NA;NA;NA;2871370435.00;NA
Scinax_ruber;45;0;1;0;0;1;0;1;8120000000000.00;282.06
Scinax_similis;41;0;1;0;0;0;1;1;23588845592.00;NA
Scinax_skuki;NA;NA;NA;NA;NA;NA;NA;NA;9682542.98;NA
Scinax_squalirostris;29;0;1;0;0;1;1;1;2310000000000.00;172.05
Scinax_tigrinus;30.8;NA;NA;NA;0;0;1;1;2331852348.00;NA
Scinax_trapicheiroi;40;0;1;0;0;1;1;1;11403845143.00;NA
Scinax_tymbamirim;26;0;1;0;0;0;1;1;80703771589.00;NA
Scinax_uruguayus;25.8;0;1;0;0;1;1;1;166000000000.00;400
Scinax_v_signatus;27;0;1;0;0;0;1;1;28883605709.00;NA
Scinax_x_signatus;41;0;1;0;0;1;1;1;10600000000000.00;NA
Scythrophrys_sawayae;16.71;0;1;0;0;1;1;0;9311076079.00;33
Sphaenorhynchus_botocudo;29.3;0;1;0;0;1;1;1;3328511408.00;NA
Sphaenorhynchus_bromelicola;30;NA;NA;NA;0;1;1;1;26650396.26;NA
Sphaenorhynchus_canga;NA;NA;NA;NA;NA;NA;NA;NA;2720085.83;NA
Sphaenorhynchus_caramaschii;29.3;0;1;0;0;1;1;1;47599033081.00;NA
Sphaenorhynchus_orophilus;32;0;1;0;0;1;1;1;34826909292.00;NA
Sphaenorhynchus_palustris;36;0;1;0;0;1;1;1;107000000000.00;NA
Sphaenorhynchus_pauloalvini;24;0;1;0;0;1;1;1;18591663920.00;NA
Sphaenorhynchus_planicola;24;0;1;0;0;1;1;1;38795220871.00;NA
Sphaenorhynchus_prasinus;31;0;1;0;0;1;1;1;168000000000.00;NA
Sphaenorhynchus_surdus;28;0;1;0;0;1;1;1;56703778126.00;NA
Stereocyclops_histrio;NA;NA;NA;NA;NA;NA;NA;NA;447344771.40;NA
Stereocyclops_incrassatus;57.8;0;1;0;1;1;1;1;155000000000.00;NA
Stereocyclops_palmipes;NA;NA;NA;NA;NA;NA;NA;NA;4786335.59;NA
Stereocyclops_parkeri;60;0;1;0;1;1;1;0;12432110616.00;NA
Thoropa_lutzi;30;0;1;0;0;1;1;0;17814623190.00;93.51
Thoropa_megatympanum;53;0;1;0;0;1;1;0;22061890066.00;61.64
Thoropa_miliaris;78;0;1;1;0;1;1;0;499000000000.00;181.66
Thoropa_petropolitana;27;0;1;0;0;1;1;0;16307991595.00;22.92
Thoropa_saxatilis;58;0;1;0;0;1;1;0;4881529590.00;33
Thoropa_taophora;102.1;0;1;0;0;1;1;0;2617642237.00;654.33
Trachycephalus_atlas;107;0;1;0;0;1;0;1;108000000000.00;NA
Trachycephalus_dibernardoi;84.4;0;1;0;0;0;0;1;28399580233.00;NA
Trachycephalus_imitatrix;71;0;1;0;0;1;0;1;276000000000.00;NA
Trachycephalus_lepidus;58.7;0;1;0;0;1;1;1;25584787.94;NA
Trachycephalus_mesophaeus;80.5;0;1;0;0;1;1;1;842000000000.00;1395.24
Trachycephalus_nigromaculatus;91.05;0;1;0;0;1;0;1;691000000000.00;270
Trachycephalus_typhonius;105;1;1;0;0;1;1;1;11500000000000.00;1457.84
Vitreorana_baliomma;NA;0;1;0;0;0;0;1;52653849827.00;NA
Vitreorana_eurygnatha;23;0;1;0;0;0;0;1;447000000000.00;NA
Vitreorana_parvula;17;NA;NA;NA;0;0;0;1;685623998.40;NA
Vitreorana_uranoscopa;25.8;0;1;0;0;0;0;1;585000000000.00;30.46
Xenohyla_eugenioi;45.5;NA;NA;NA;0;0;1;1;16435671880.00;NA
Xenohyla_truncata;42;0;1;0;0;0;1;1;11940874883.00;186
Zachaenus_carvalhoi;37;0;1;0;0;1;0;0;4809202.17;37
Zachaenus_parvulus;29.6;0;1;0;0;1;0;0;7712090816.00;NA
