sp;svl_mm;diurnal;nocturnal;Terrestre;Arboricola;Fossorial;Aquatica;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2
Tropidophis_preciosus;404;0;1;0;1;0;0;NA;NA;62826393063
Tropidurus_catalanensis;80;1;0;1;0;0;0;NA;NA;3.19E+11
Tropidurus_erythrocephalus;64.1;1;0;1;0;0;0;NA;NA;1.93E+11
Tropidurus_etheridgei;61.6;1;0;1;1;0;0;6.3;2;4.25E+12
Tropidurus_guarani;73.8;1;0;0;1;0;0;2;1.4;4.14E+11
Tropidurus_hispidus;83.8;1;0;1;0;0;0;8.1;3;6.83E+12
Tropidurus_hygomi;54;1;0;1;0;0;0;2;NA;1.52E+11
Tropidurus_itambere;65;1;0;1;1;0;0;4;NA;1.64E+12
Tropidurus_montanus;72.3;1;0;1;1;0;0;3.5;NA;1.25E+11
Tropidurus_mucujensis;63;NA;NA;1;0;0;0;2;NA;1.26E+11
Tropidurus_oreadicus;77.5;1;0;1;1;0;0;5.3;NA;3.52E+12
Tropidurus_semitaeniatus;69.6;1;0;1;0;0;0;2.4;3.5;1.08E+12
Tropidurus_spinulosus;90.2;1;0;1;1;0;0;5.8;1.4;1.11E+12
Tropidurus_torquatus;75.5;1;0;1;1;0;0;7.4;3;8.92E+12
Tupinambis_quadrilineatus;200.8;1;0;1;0;0;0;NA;NA;1.88E+12
Tupinambis_teguixin;321;1;0;1;0;0;0;21.4;1;1.09E+13
Uromacerina_ricardinii;689;1;0;0;1;0;0;NA;NA;6.55E+11
Urostrophus_gallardoi;NA;1;0;0;1;0;0;NA;NA;2.23E+11
Urostrophus_vautieri;76.4;1;0;0;1;0;0;9.6;NA;74116995933
Urotheca_lateristriga;442;1;0;1;0;1;0;NA;NA;9.18E+11
Vanzosaura_rubricauda;34.7;1;0;1;0;1;0;2.3;NA;4.67E+12
Xenodon_dorbignyi;800;1;0;1;0;1;0;11;NA;1.89E+12
Xenodon_guentheri;NA;NA;NA;NA;NA;NA;NA;NA;NA;89585898099
Xenodon_histricus;345;1;0;1;0;1;0;NA;NA;9.12E+11
Xenodon_merremi;446;1;0;1;0;0;0;15;NA;6.67E+12
Xenodon_nattereri;253;1;0;1;0;0;0;NA;NA;2.36E+12
Xenodon_neuwiedii;800;1;0;1;0;0;0;8;NA;1.92E+12
Xenodon_rabdocephalus;654;1;0;1;0;0;0;8;NA;9.34E+12
Xenodon_severus;1060;1;0;1;0;0;0;22;NA;8.52E+12
Xenopholis_scalaris;354;0;1;1;0;0;0;2.5;NA;9.87E+12
Xenopholis_undulatus;465;0;1;1;0;0;0;NA;NA;2.62E+12
