"";"LnL";"numparams";"d";"e";"j";"AICc";"AICc_wt";"delta_AICc"
"DEC+J";-2031,79298376898;3;0,00824318705633761;1e-12;0,0757217585765193;4069,62085125888;1;0
"DEC";-2203,37939146414;2;0,0130819104911016;0,00839961787559205;0;4410,77619947399;8,29960453266323e-75;341,155348215106
