"V1" "V2" "id"
"0" -55.399663561 -22.62276882 31
"1" -55.399663561 -23.12276882 32
"2" -55.399663561 -23.62276882 33
"3" -55.399663561 -28.12276882 42
"4" -54.899663561 -22.12276882 76
"5" -54.899663561 -22.62276882 77
"6" -54.899663561 -23.12276882 78
"7" -54.899663561 -23.62276882 79
"8" -54.899663561 -27.62276882 87
"9" -54.899663561 -28.12276882 88
"10" -54.399663561 -21.62276882 121
"11" -54.399663561 -22.12276882 122
"12" -54.399663561 -22.62276882 123
"13" -54.399663561 -23.12276882 124
"14" -54.399663561 -23.62276882 125
"15" -54.399663561 -24.12276882 126
"16" -54.399663561 -24.62276882 127
"17" -54.399663561 -25.12276882 128
"18" -54.399663561 -25.62276882 129
"19" -54.399663561 -27.62276882 133
"20" -54.399663561 -28.12276882 134
"21" -53.899663561 -22.12276882 168
"22" -53.899663561 -22.62276882 169
"23" -53.899663561 -23.12276882 170
"24" -53.899663561 -23.62276882 171
"25" -53.899663561 -24.12276882 172
"26" -53.899663561 -24.62276882 173
"27" -53.899663561 -25.12276882 174
"28" -53.899663561 -25.62276882 175
"29" -53.899663561 -26.12276882 176
"30" -53.899663561 -26.62276882 177
"31" -53.899663561 -27.12276882 178
"32" -53.899663561 -27.62276882 179
"33" -53.899663561 -28.12276882 180
"34" -53.899663561 -29.62276882 183
"35" -53.399663561 -22.12276882 214
"36" -53.399663561 -22.62276882 215
"37" -53.399663561 -23.12276882 216
"38" -53.399663561 -23.62276882 217
"39" -53.399663561 -24.12276882 218
"40" -53.399663561 -24.62276882 219
"41" -53.399663561 -25.12276882 220
"42" -53.399663561 -25.62276882 221
"43" -53.399663561 -26.12276882 222
"44" -53.399663561 -26.62276882 223
"45" -53.399663561 -27.12276882 224
"46" -53.399663561 -27.62276882 225
"47" -53.399663561 -29.12276882 228
"48" -53.399663561 -29.62276882 229
"49" -52.899663561 -22.12276882 260
"50" -52.899663561 -22.62276882 261
"51" -52.899663561 -23.12276882 262
"52" -52.899663561 -23.62276882 263
"53" -52.899663561 -24.12276882 264
"54" -52.899663561 -24.62276882 265
"55" -52.899663561 -25.12276882 266
